IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max,incidentType,fyDeclared
555627,241.0,233.0,7.0,1.0,1.0,57715,40.0,0.0,0.0,Hurricane,2017.0
608242,241.0,232.0,7.0,2.0,1.0,92868,40.0,0.0,0.0,Hurricane,2017.0
2011214,579.0,531.0,39.0,9.0,1.0,640991,255.0,0.0,0.0,Hurricane,2017.0
749823,205.0,185.0,19.0,1.0,1.0,140832,71.0,0.0,0.0,Hurricane,2017.0
3136534,1086.0,1029.0,51.0,6.0,2.0,642103,323.0,0.0,0.0,Hurricane,2017.0
1367433,519.0,493.0,25.0,1.0,1.0,212658,81.0,0.0,0.0,Hurricane,2017.0
178719,75.0,72.0,3.0,0.0,0.0,15619,10.0,0.0,0.0,Hurricane,2017.0
6253928,1399.0,1212.0,153.0,34.0,9.0,997093,393.0,1.0,0.0,Hurricane,2017.0
432684,161.0,153.0,8.0,0.0,0.0,34897,14.0,0.0,0.0,Hurricane,2017.0
228825,72.0,67.0,5.0,0.0,0.0,9520,7.0,0.0,0.0,Hurricane,2017.0
8313818,1173.0,870.0,212.0,91.0,28.0,1425728,427.0,0.0,0.0,Hurricane,2017.0
305297,90.0,84.0,6.0,0.0,0.0,27854,18.0,0.0,0.0,Hurricane,2017.0
963828,349.0,332.0,13.0,4.0,2.0,134065,66.0,0.0,0.0,Hurricane,2017.0
392430,142.0,138.0,4.0,0.0,0.0,83247,38.0,0.0,0.0,Hurricane,2017.0
2084061,764.0,736.0,24.0,4.0,4.0,214022,110.0,0.0,0.0,Hurricane,2017.0
393242,85.0,75.0,9.0,1.0,0.0,14715,4.0,0.0,0.0,Flood,2017.0
416128,108.0,103.0,4.0,1.0,0.0,14824,12.0,0.0,0.0,Flood,2017.0
152723,47.0,44.0,3.0,0.0,0.0,1113,1.0,0.0,0.0,Flood,2017.0
21395,13.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2017.0
10071,5.0,5.0,0.0,0.0,0.0,0,0,0,0,Flood,2017.0
59875,32.0,32.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2017.0
1496035,345.0,315.0,30.0,0.0,0.0,18298,9.0,0.0,0.0,Flood,2017.0
794586,175.0,152.0,20.0,3.0,1.0,81712,29.0,0.0,0.0,Hurricane,2017.0
81207,30.0,30.0,0.0,0.0,0.0,188925,58.0,0.0,0.0,Hurricane,2017.0
40167,13.0,13.0,0.0,0.0,0.0,334280,90.0,0.0,0.0,Hurricane,2017.0
437649,141.0,133.0,8.0,0.0,0.0,253621,80.0,0.0,0.0,Hurricane,2017.0
304283,82.0,73.0,9.0,0.0,0.0,376484,97.0,0.0,0.0,Hurricane,2017.0
439089,73.0,58.0,12.0,3.0,1.0,50297,20.0,0.0,0.0,Hurricane,2017.0
5044368,930.0,758.0,165.0,7.0,3.0,1768950,443.0,0.0,0.0,Hurricane,2017.0
1183752,53.0,18.0,2.0,33.0,32.0,2249606,389.0,1.0,1.0,Fire,2017.0
198908,96.0,95.0,1.0,0.0,0.0,429421,225.0,0.0,0.0,Severe Storm(s),2017.0
1915651,191.0,126.0,37.0,28.0,22.0,1130277,325.0,0.0,0.0,Tornado,2017.0
57130,20.0,20.0,0.0,0.0,0.0,46243,14.0,0.0,0.0,Tornado,2017.0
95460,13.0,10.0,2.0,1.0,1.0,14756,2.0,0.0,0.0,Tornado,2017.0
68204,9.0,8.0,0.0,1.0,1.0,1816,2.0,0.0,0.0,Tornado,2017.0
26504,6.0,5.0,1.0,0.0,0.0,6742,1.0,0.0,0.0,Tornado,2017.0
1836,2.0,2.0,0.0,0.0,0.0,198450,32.0,0.0,0.0,Tornado,2017.0
52067,15.0,14.0,1.0,0.0,0.0,18312,7.0,0.0,0.0,Tornado,2017.0
988637,169.0,143.0,14.0,12.0,11.0,943904,244.0,1.0,0.0,Tornado,2017.0
15037,6.0,6.0,0.0,0.0,0.0,13093,3.0,0.0,0.0,Tornado,2017.0
308209,40.0,29.0,7.0,4.0,4.0,62100,14.0,0.0,0.0,Tornado,2017.0
143415,15.0,11.0,1.0,3.0,3.0,0,0.0,0.0,0.0,Tornado,2017.0
140894,22.0,18.0,2.0,2.0,1.0,31123,15.0,0.0,0.0,Tornado,2017.0
95215,12.0,9.0,2.0,1.0,1.0,73158,7.0,2.0,0.0,Tornado,2017.0
1951647,273.0,220.0,30.0,23.0,14.0,898663,296.0,0.0,0.0,Tornado,2017.0
87994,15.0,13.0,2.0,0.0,0.0,1470,1.0,0.0,0.0,Flood,2017.0
385341,94.0,82.0,11.0,1.0,1.0,74456,24.0,0.0,0.0,Flood,2017.0
1585143,94.0,39.0,21.0,34.0,20.0,224127,39.0,0.0,0.0,Flood,2017.0
32750,10.0,9.0,1.0,0.0,0.0,2976,1.0,0.0,0.0,Flood,2017.0
39747,6.0,4.0,2.0,0.0,0.0,5578,2.0,0.0,0.0,Flood,2017.0
43647,7.0,5.0,2.0,0.0,0.0,0,0,0,0,Flood,2017.0
171530,24.0,18.0,5.0,1.0,1.0,0,0.0,0.0,0.0,Flood,2017.0
66112,9.0,7.0,1.0,1.0,1.0,0,0.0,0.0,0.0,Flood,2017.0
458279,55.0,40.0,12.0,3.0,2.0,139788,32.0,0.0,0.0,Flood,2017.0
316228,33.0,22.0,8.0,3.0,3.0,3078,2.0,0.0,0.0,Flood,2017.0
137161,55.0,53.0,2.0,0.0,0.0,8779,5.0,0.0,0.0,Flood,2017.0
517716,112.0,94.0,17.0,1.0,0.0,220804,55.0,0.0,0.0,Flood,2017.0
4972,5.0,5.0,0.0,0.0,0.0,2465,1.0,0.0,0.0,Flood,2017.0
318463,39.0,28.0,6.0,5.0,4.0,10222,2.0,0.0,0.0,Flood,2017.0
1010075,186.0,157.0,20.0,9.0,3.0,183785,58.0,0.0,0.0,Flood,2017.0
96503,23.0,20.0,3.0,0.0,0.0,15488,2.0,0.0,0.0,Flood,2017.0
75352,11.0,8.0,3.0,0.0,0.0,1058,1.0,0.0,0.0,Flood,2017.0
445377,76.0,61.0,13.0,2.0,1.0,44757,12.0,0.0,0.0,Flood,2017.0
1107612,155.0,107.0,46.0,2.0,0.0,276746,52.0,0.0,0.0,Flood,2017.0
105171,25.0,22.0,2.0,1.0,1.0,968,1.0,0.0,0.0,Flood,2017.0
52502,10.0,9.0,0.0,1.0,1.0,2706,2.0,0.0,0.0,Flood,2017.0
288703,44.0,36.0,3.0,5.0,5.0,14422,5.0,0.0,0.0,Flood,2017.0
16739,7.0,7.0,0.0,0.0,0.0,3753,4.0,0.0,0.0,Flood,2017.0
109053,25.0,21.0,3.0,1.0,0.0,5114,3.0,0.0,0.0,Flood,2017.0
604785,42.0,20.0,12.0,10.0,8.0,41314,9.0,0.0,0.0,Flood,2017.0
103899,28.0,26.0,2.0,0.0,0.0,26986,8.0,0.0,0.0,Flood,2017.0
823841,66.0,39.0,9.0,18.0,10.0,92077,14.0,0.0,0.0,Flood,2017.0
322115,33.0,22.0,7.0,4.0,4.0,22370,6.0,0.0,0.0,Flood,2017.0
449301,117.0,106.0,7.0,4.0,1.0,84757,43.0,0.0,0.0,Flood,2017.0
4119,2.0,2.0,0.0,0.0,0.0,1063,1.0,0.0,0.0,Flood,2017.0
92475,36.0,35.0,1.0,0.0,0.0,7558,3.0,0.0,0.0,Flood,2017.0
519364,52.0,34.0,11.0,7.0,1.0,96661,19.0,0.0,0.0,Flood,2017.0
272576,31.0,23.0,3.0,5.0,5.0,36667,4.0,0.0,0.0,Flood,2017.0
183594,31.0,25.0,4.0,2.0,2.0,4640,4.0,0.0,0.0,Flood,2017.0
53013,7.0,5.0,1.0,1.0,1.0,536,1.0,0.0,0.0,Flood,2017.0
242496,74.0,65.0,8.0,1.0,0.0,35880,10.0,0.0,0.0,Severe Storm(s),2017.0
84391,20.0,18.0,1.0,1.0,0.0,26282,10.0,0.0,0.0,Severe Storm(s),2017.0
