IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max,incidentType,fyDeclared
56376,25.0,25.0,0.0,0.0,0.0,1858,1.0,0.0,0.0,Flood,2013.0
3703422,1406.0,1354.0,48.0,4.0,2.0,675329,268.0,0.0,0.0,Flood,2013.0
149836,70.0,66.0,4.0,0.0,0.0,4314,2.0,0.0,0.0,Flood,2013.0
778213,192.0,171.0,17.0,4.0,3.0,92343,24.0,0.0,0.0,Flood,2013.0
649953,207.0,192.0,9.0,6.0,3.0,36747,18.0,0.0,0.0,Tornado,2013.0
3055169,593.0,514.0,39.0,40.0,39.0,3874167,928.0,6.0,4.0,Tornado,2013.0
312455,16.0,5.0,3.0,8.0,1.0,4042,3.0,0.0,0.0,Tornado,2013.0
492787,51.0,35.0,7.0,9.0,7.0,18906,5.0,0.0,0.0,Tornado,2013.0
56296,10.0,8.0,1.0,1.0,1.0,0,0.0,0.0,0.0,Tornado,2013.0
129665,20.0,16.0,3.0,1.0,0.0,22883,4.0,0.0,0.0,Tornado,2013.0
2190977,664.0,618.0,39.0,7.0,4.0,2157680,856.0,1.0,0.0,Tornado,2013.0
260526,33.0,23.0,6.0,4.0,1.0,41008,9.0,0.0,0.0,Tornado,2013.0
1432357,135.0,90.0,12.0,33.0,31.0,227991,49.0,0.0,0.0,Tornado,2013.0
68624,8.0,5.0,3.0,0.0,0.0,0,0,0,0,Flood,2013.0
445503,54.0,38.0,12.0,4.0,3.0,194372,17.0,1.0,0.0,Flood,2013.0
362321,37.0,25.0,10.0,2.0,1.0,69454,11.0,0.0,0.0,Flood,2013.0
2098606,134.0,59.0,30.0,45.0,26.0,251270,31.0,2.0,0.0,Flood,2013.0
1023466,527.0,516.0,11.0,0.0,0.0,227904,88.0,0.0,0.0,Flood,2013.0
2961430,1471.0,1438.0,30.0,3.0,2.0,636569,217.0,0.0,0.0,Flood,2013.0
30274449,7789.0,7057.0,584.0,148.0,80.0,5237727,1924.0,4.0,1.0,Flood,2013.0
241676,90.0,85.0,4.0,1.0,0.0,5108,4.0,0.0,0.0,Flood,2013.0
1321537,557.0,543.0,13.0,1.0,0.0,454522,213.0,0.0,0.0,Flood,2013.0
56188,31.0,31.0,0.0,0.0,0.0,5115,2.0,0.0,0.0,Flood,2013.0
1487219,478.0,446.0,25.0,7.0,4.0,118520,37.0,0.0,0.0,Flood,2013.0
6145059,1628.0,1484.0,95.0,49.0,22.0,859484,338.0,2.0,0.0,Flood,2013.0
490908,72.0,55.0,13.0,4.0,0.0,43506,18.0,0.0,0.0,Flood,2013.0
67457,12.0,11.0,0.0,1.0,1.0,26118,7.0,0.0,0.0,Flood,2013.0
9182777,805.0,512.0,96.0,197.0,147.0,1036908,242.0,0.0,0.0,Flood,2013.0
0,0.0,0.0,0.0,0.0,0.0,124311,17.0,0.0,0.0,Tornado,2014.0
38582,5.0,4.0,0.0,1.0,0.0,601,1.0,0.0,0.0,Tornado,2014.0
34677,3.0,2.0,0.0,1.0,1.0,3474,1.0,0.0,0.0,Tornado,2014.0
36706,4.0,3.0,0.0,1.0,0.0,0,0,0,0,Tornado,2014.0
1575,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Tornado,2014.0
858583,70.0,44.0,7.0,19.0,17.0,242867,34.0,1.0,1.0,Tornado,2014.0
65510,3.0,1.0,0.0,2.0,2.0,0,0.0,0.0,0.0,Tornado,2014.0
131082,19.0,16.0,1.0,2.0,2.0,966296,184.0,0.0,0.0,Tornado,2014.0
98684,17.0,15.0,0.0,2.0,2.0,2272,2.0,0.0,0.0,Tornado,2014.0
32400,1.0,0.0,0.0,1.0,1.0,0,0,0,0,Tornado,2014.0
28880,3.0,1.0,2.0,0.0,0.0,28967,3.0,0.0,0.0,Tornado,2014.0
60043,3.0,1.0,1.0,1.0,1.0,0,0,0,0,Tornado,2014.0
14642,2.0,1.0,1.0,0.0,0.0,8754,1.0,0.0,0.0,Tornado,2014.0
0,0.0,0.0,0.0,0.0,0.0,4124,2.0,0.0,0.0,Tornado,2014.0
15008,4.0,4.0,0.0,0.0,0.0,5349,2.0,0.0,0.0,Mud/Landslide,2014.0
1409700,372.0,360.0,2.0,10.0,9.0,659681,216.0,0.0,0.0,Mud/Landslide,2014.0
2102875,147.0,85.0,12.0,50.0,49.0,550620,120.0,1.0,0.0,Severe Storm(s),2014.0
113776,13.0,10.0,1.0,2.0,2.0,3460,3.0,0.0,0.0,Severe Storm(s),2014.0
67180,23.0,22.0,0.0,1.0,0.0,25162,7.0,0.0,0.0,Severe Storm(s),2014.0
121409,20.0,17.0,1.0,2.0,2.0,40652,7.0,0.0,0.0,Severe Storm(s),2014.0
451051,34.0,22.0,2.0,10.0,9.0,38932,9.0,0.0,0.0,Severe Storm(s),2014.0
254838,42.0,36.0,2.0,4.0,4.0,53043,14.0,0.0,0.0,Severe Storm(s),2014.0
120147,8.0,5.0,0.0,3.0,3.0,17120,1.0,0.0,0.0,Severe Storm(s),2014.0
346659,73.0,64.0,5.0,4.0,3.0,411571,145.0,2.0,2.0,Severe Storm(s),2014.0
261753,90.0,84.0,5.0,1.0,1.0,120372,41.0,0.0,0.0,Severe Storm(s),2014.0
28555,6.0,6.0,0.0,0.0,0.0,4710,2.0,0.0,0.0,Severe Storm(s),2014.0
36894,2.0,1.0,0.0,1.0,1.0,0,0,0,0,Severe Storm(s),2014.0
166819,35.0,32.0,1.0,2.0,2.0,181773,44.0,0.0,0.0,Severe Storm(s),2014.0
13546,7.0,7.0,0.0,0.0,0.0,2924,1.0,0.0,0.0,Severe Storm(s),2014.0
31121,7.0,6.0,1.0,0.0,0.0,18181,5.0,0.0,0.0,Severe Storm(s),2014.0
345936,85.0,78.0,2.0,5.0,4.0,23242,8.0,0.0,0.0,Severe Storm(s),2014.0
2170655,150.0,82.0,16.0,52.0,44.0,769083,138.0,0.0,0.0,Severe Storm(s),2014.0
7719237,1547.0,1311.0,199.0,37.0,13.0,1834786,538.0,1.0,1.0,Severe Storm(s),2014.0
155485,19.0,14.0,3.0,2.0,2.0,14633,8.0,0.0,0.0,Severe Storm(s),2014.0
69836,20.0,19.0,0.0,1.0,1.0,23146,7.0,0.0,0.0,Severe Storm(s),2014.0
463864,44.0,30.0,4.0,10.0,9.0,41550,15.0,0.0,0.0,Severe Storm(s),2014.0
966584,234.0,211.0,13.0,10.0,7.0,434157,209.0,0.0,0.0,Severe Storm(s),2014.0
267780,41.0,34.0,2.0,5.0,4.0,65241,12.0,0.0,0.0,Severe Storm(s),2014.0
841909,138.0,114.0,10.0,14.0,9.0,709013,163.0,1.0,1.0,Severe Storm(s),2014.0
4747685,2077.0,2029.0,46.0,2.0,0.0,3769759,2255.0,0.0,0.0,Severe Storm(s),2014.0
357136,52.0,41.0,7.0,4.0,4.0,22828,10.0,0.0,0.0,Severe Storm(s),2014.0
19522898,2812.0,2080.0,589.0,143.0,70.0,6718585,2128.0,1.0,1.0,Severe Storm(s),2014.0
495123,158.0,150.0,6.0,2.0,1.0,45278,29.0,0.0,0.0,Severe Storm(s),2014.0
1639397,418.0,365.0,51.0,2.0,0.0,539030,204.0,0.0,0.0,Severe Storm(s),2014.0
4503614,827.0,671.0,139.0,17.0,4.0,1001584,314.0,0.0,0.0,Severe Storm(s),2014.0
544882,168.0,156.0,11.0,1.0,0.0,101794,37.0,0.0,0.0,Severe Storm(s),2014.0
9229447,2886.0,2706.0,144.0,36.0,21.0,756055,556.0,1.0,0.0,Earthquake,2014.0
1131213,424.0,409.0,14.0,1.0,0.0,271128,399.0,0.0,0.0,Earthquake,2014.0
10493864,4481.0,4386.0,87.0,8.0,3.0,2166798,1264.0,0.0,0.0,Flood,2014.0
19067488,8892.0,8803.0,86.0,3.0,1.0,1760133,1241.0,0.0,0.0,Flood,2014.0
91869803,37534.0,36799.0,717.0,18.0,3.0,31202236,19994.0,1.0,0.0,Flood,2014.0
50871,15.0,13.0,2.0,0.0,0.0,265,1.0,0.0,0.0,Flood,2015.0
268617,41.0,30.0,10.0,1.0,0.0,63264,12.0,0.0,0.0,Flood,2015.0
337513,48.0,35.0,11.0,2.0,1.0,50968,8.0,0.0,0.0,Flood,2015.0
65348,20.0,19.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2015.0
83554,29.0,27.0,2.0,0.0,0.0,5519,4.0,0.0,0.0,Flood,2015.0
1488610,465.0,438.0,27.0,0.0,0.0,888642,268.0,0.0,0.0,Flood,2015.0
317953,59.0,51.0,5.0,3.0,1.0,4806,2.0,0.0,0.0,Flood,2015.0
114748,27.0,23.0,4.0,0.0,0.0,3233,5.0,0.0,0.0,Flood,2015.0
202290,36.0,28.0,7.0,1.0,0.0,62202,27.0,0.0,0.0,Flood,2015.0
71758,17.0,15.0,2.0,0.0,0.0,3163,2.0,0.0,0.0,Flood,2015.0
32637,24.0,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
317502,85.0,79.0,3.0,3.0,1.0,29830,9.0,0.0,0.0,Severe Storm(s),2015.0
333562,51.0,38.0,11.0,2.0,1.0,11469,4.0,0.0,0.0,Severe Storm(s),2015.0
507574,103.0,90.0,9.0,4.0,4.0,63612,24.0,0.0,0.0,Severe Storm(s),2015.0
121292,36.0,33.0,3.0,0.0,0.0,3636,2.0,0.0,0.0,Severe Storm(s),2015.0
75242,30.0,29.0,1.0,0.0,0.0,4527,4.0,0.0,0.0,Severe Storm(s),2015.0
1220186,280.0,254.0,19.0,7.0,4.0,80859,24.0,0.0,0.0,Severe Storm(s),2015.0
17028,7.0,6.0,1.0,0.0,0.0,0,0,0,0,Severe Storm(s),2015.0
108858,14.0,11.0,1.0,2.0,2.0,9622,3.0,0.0,0.0,Severe Storm(s),2015.0
3030002,1057.0,992.0,54.0,11.0,4.0,229091,81.0,0.0,0.0,Severe Storm(s),2015.0
12989,4.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
2170011,234.0,154.0,51.0,29.0,14.0,189110,64.0,0.0,0.0,Severe Storm(s),2015.0
97624,22.0,20.0,2.0,0.0,0.0,11727,3.0,0.0,0.0,Severe Storm(s),2015.0
12250,3.0,3.0,0.0,0.0,0.0,0,0,0,0,Severe Storm(s),2015.0
39146,13.0,12.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
853273,156.0,130.0,15.0,11.0,8.0,223411,44.0,0.0,0.0,Severe Storm(s),2015.0
60127,30.0,29.0,1.0,0.0,0.0,1602,1.0,0.0,0.0,Severe Storm(s),2015.0
117122,22.0,18.0,4.0,0.0,0.0,4024,2.0,0.0,0.0,Severe Storm(s),2015.0
384963,67.0,54.0,10.0,3.0,2.0,61950,12.0,0.0,0.0,Severe Storm(s),2015.0
164212,42.0,37.0,5.0,0.0,0.0,3803,3.0,0.0,0.0,Severe Storm(s),2015.0
25286,11.0,11.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
357648,52.0,40.0,9.0,3.0,1.0,14298,6.0,0.0,0.0,Severe Storm(s),2015.0
18274,9.0,8.0,1.0,0.0,0.0,0,0,0,0,Severe Storm(s),2015.0
36685,9.0,8.0,0.0,1.0,1.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
160976,34.0,28.0,5.0,1.0,1.0,11297,1.0,0.0,0.0,Severe Storm(s),2015.0
547999,79.0,61.0,12.0,6.0,3.0,1200,2.0,0.0,0.0,Severe Storm(s),2015.0
49689,12.0,11.0,1.0,0.0,0.0,2533,1.0,0.0,0.0,Severe Storm(s),2015.0
224012,75.0,69.0,6.0,0.0,0.0,40860,12.0,0.0,0.0,Severe Storm(s),2015.0
148792,35.0,31.0,4.0,0.0,0.0,920,1.0,0.0,0.0,Severe Storm(s),2015.0
71571,48.0,47.0,1.0,0.0,0.0,3478,2.0,0.0,0.0,Severe Storm(s),2015.0
169794,26.0,21.0,3.0,2.0,1.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
224954,72.0,67.0,5.0,0.0,0.0,267,1.0,0.0,0.0,Severe Storm(s),2015.0
2539285,425.0,337.0,71.0,17.0,11.0,944563,311.0,0.0,0.0,Severe Storm(s),2015.0
232795,70.0,64.0,5.0,1.0,0.0,1252,1.0,0.0,0.0,Severe Storm(s),2015.0
11705,3.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
171958,71.0,68.0,3.0,0.0,0.0,7261,6.0,0.0,0.0,Severe Storm(s),2015.0
169484,74.0,70.0,4.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
818231,298.0,285.0,9.0,4.0,3.0,13906,8.0,0.0,0.0,Severe Storm(s),2015.0
74209,17.0,15.0,2.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
19930,6.0,5.0,1.0,0.0,0.0,9118,4.0,0.0,0.0,Severe Storm(s),2015.0
381737,152.0,146.0,6.0,0.0,0.0,32219,12.0,0.0,0.0,Severe Storm(s),2015.0
54085,23.0,22.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
73445,15.0,12.0,3.0,0.0,0.0,530,1.0,0.0,0.0,Severe Storm(s),2015.0
61202,24.0,23.0,1.0,0.0,0.0,19529,5.0,0.0,0.0,Severe Storm(s),2015.0
173763,30.0,27.0,1.0,2.0,1.0,23815,6.0,0.0,0.0,Severe Storm(s),2015.0
426813,74.0,60.0,12.0,2.0,0.0,8190,9.0,0.0,0.0,Severe Storm(s),2015.0
1047108,186.0,147.0,34.0,5.0,2.0,57423,22.0,0.0,0.0,Severe Storm(s),2015.0
512748,59.0,43.0,8.0,8.0,5.0,57383,12.0,0.0,0.0,Severe Storm(s),2015.0
303581,33.0,22.0,8.0,3.0,1.0,8199,2.0,0.0,0.0,Severe Storm(s),2015.0
350016,62.0,48.0,12.0,2.0,1.0,26983,8.0,0.0,0.0,Severe Storm(s),2015.0
965465,120.0,82.0,30.0,8.0,1.0,238273,52.0,0.0,0.0,Severe Storm(s),2015.0
259802,70.0,65.0,3.0,2.0,2.0,8788,9.0,0.0,0.0,Severe Storm(s),2015.0
165044,57.0,55.0,2.0,0.0,0.0,8830,5.0,0.0,0.0,Severe Storm(s),2015.0
1430943,279.0,241.0,36.0,2.0,2.0,420868,92.0,1.0,0.0,Severe Storm(s),2015.0
337935,81.0,75.0,2.0,4.0,2.0,39386,16.0,0.0,0.0,Severe Storm(s),2015.0
52152,11.0,10.0,0.0,1.0,1.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
180214,37.0,31.0,6.0,0.0,0.0,9611,2.0,0.0,0.0,Severe Storm(s),2015.0
106791,54.0,54.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
156185,42.0,39.0,2.0,1.0,1.0,2033,3.0,0.0,0.0,Severe Storm(s),2015.0
50612,11.0,8.0,3.0,0.0,0.0,830,1.0,0.0,0.0,Severe Storm(s),2015.0
1192548,191.0,148.0,40.0,3.0,0.0,216670,64.0,0.0,0.0,Severe Storm(s),2015.0
91911,12.0,8.0,3.0,1.0,0.0,14469,2.0,0.0,0.0,Severe Storm(s),2015.0
224778,33.0,25.0,6.0,2.0,1.0,5389,3.0,0.0,0.0,Severe Storm(s),2015.0
926281,200.0,177.0,16.0,7.0,4.0,25394,13.0,0.0,0.0,Severe Storm(s),2015.0
277886,37.0,27.0,7.0,3.0,3.0,58101,18.0,0.0,0.0,Severe Storm(s),2015.0
15980402,3015.0,2485.0,484.0,46.0,16.0,7973702,2098.0,5.0,2.0,Severe Storm(s),2015.0
148337,39.0,38.0,0.0,1.0,1.0,28526,7.0,0.0,0.0,Severe Storm(s),2015.0
5589835,492.0,286.0,121.0,85.0,54.0,2904573,609.0,3.0,0.0,Severe Storm(s),2015.0
420864,113.0,103.0,10.0,0.0,0.0,20754,6.0,0.0,0.0,Severe Storm(s),2015.0
2500594,1245.0,1217.0,25.0,3.0,2.0,276036,118.0,0.0,0.0,Severe Storm(s),2015.0
89169,22.0,20.0,2.0,0.0,0.0,13484,5.0,0.0,0.0,Severe Storm(s),2015.0
1026195,465.0,454.0,9.0,2.0,1.0,60947,47.0,0.0,0.0,Severe Storm(s),2015.0
304470,61.0,52.0,8.0,1.0,1.0,27203,6.0,0.0,0.0,Severe Storm(s),2015.0
793547,271.0,256.0,14.0,1.0,1.0,173399,81.0,0.0,0.0,Severe Storm(s),2015.0
68029,9.0,6.0,3.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
59702,23.0,23.0,0.0,0.0,0.0,11454,6.0,0.0,0.0,Severe Storm(s),2015.0
455011,64.0,50.0,10.0,4.0,3.0,20729,5.0,0.0,0.0,Severe Storm(s),2015.0
221631,45.0,41.0,4.0,0.0,0.0,7824,4.0,0.0,0.0,Severe Storm(s),2015.0
416321,90.0,75.0,15.0,0.0,0.0,26808,15.0,0.0,0.0,Severe Storm(s),2015.0
2207355,815.0,789.0,25.0,1.0,0.0,494351,186.0,0.0,0.0,Severe Storm(s),2015.0
34333,4.0,2.0,2.0,0.0,0.0,0,0,0,0,Severe Storm(s),2015.0
328765,68.0,59.0,7.0,2.0,2.0,37614,19.0,0.0,0.0,Severe Storm(s),2015.0
65938,16.0,15.0,0.0,1.0,0.0,2925,2.0,0.0,0.0,Severe Storm(s),2015.0
51413,25.0,25.0,0.0,0.0,0.0,3026,2.0,0.0,0.0,Severe Storm(s),2015.0
818462,155.0,125.0,29.0,1.0,1.0,131401,49.0,0.0,0.0,Severe Storm(s),2015.0
31885,13.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
437340,51.0,39.0,3.0,9.0,9.0,343436,65.0,2.0,2.0,Severe Storm(s),2015.0
507018,121.0,105.0,15.0,1.0,1.0,64313,23.0,0.0,0.0,Severe Storm(s),2015.0
147829,31.0,24.0,7.0,0.0,0.0,7414,6.0,0.0,0.0,Severe Storm(s),2015.0
244250,59.0,53.0,6.0,0.0,0.0,16488,11.0,0.0,0.0,Severe Storm(s),2015.0
764189,121.0,93.0,27.0,1.0,0.0,436260,81.0,0.0,0.0,Severe Storm(s),2015.0
446252,75.0,62.0,7.0,6.0,5.0,25330,13.0,0.0,0.0,Severe Storm(s),2015.0
77494,48.0,47.0,1.0,0.0,0.0,14515,7.0,0.0,0.0,Severe Storm(s),2015.0
74140,11.0,9.0,1.0,1.0,1.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
86909,13.0,10.0,2.0,1.0,1.0,17801,6.0,0.0,0.0,Severe Storm(s),2015.0
400620,71.0,58.0,11.0,2.0,0.0,16180,5.0,0.0,0.0,Severe Storm(s),2015.0
129912,27.0,23.0,3.0,1.0,1.0,21349,8.0,0.0,0.0,Severe Storm(s),2015.0
115101,12.0,8.0,2.0,2.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2015.0
91525,9.0,5.0,4.0,0.0,0.0,5458,2.0,0.0,0.0,Severe Storm(s),2015.0
68206,22.0,20.0,2.0,0.0,0.0,8439,4.0,0.0,0.0,Severe Storm(s),2015.0
37600,10.0,9.0,1.0,0.0,0.0,6667,3.0,0.0,0.0,Severe Storm(s),2015.0
101064,42.0,40.0,2.0,0.0,0.0,6700,3.0,0.0,0.0,Flood,2015.0
1072227,83.0,44.0,24.0,15.0,12.0,113356,20.0,1.0,0.0,Flood,2015.0
18072950,2410.0,1755.0,571.0,84.0,29.0,7007229,2453.0,1.0,1.0,Typhoon,2015.0
362777,259.0,258.0,0.0,1.0,0.0,76507,67.0,0.0,0.0,Severe Storm(s),2015.0
617010,154.0,141.0,13.0,0.0,0.0,12550,6.0,0.0,0.0,Severe Storm(s),2015.0
559939,127.0,113.0,10.0,4.0,3.0,25731,4.0,0.0,0.0,Severe Storm(s),2015.0
75652,11.0,9.0,1.0,1.0,0.0,22542,2.0,0.0,0.0,Severe Storm(s),2015.0
2708506,275.0,191.0,34.0,50.0,42.0,273857,47.0,0.0,0.0,Severe Storm(s),2015.0
402505,128.0,123.0,5.0,0.0,0.0,21528,3.0,0.0,0.0,Severe Storm(s),2015.0
110945,27.0,24.0,3.0,0.0,0.0,942,1.0,0.0,0.0,Severe Storm(s),2015.0
410988,77.0,66.0,10.0,1.0,1.0,48048,12.0,0.0,0.0,Severe Storm(s),2015.0
235165,41.0,33.0,7.0,1.0,1.0,47353,9.0,0.0,0.0,Severe Storm(s),2015.0
4154531,342.0,227.0,10.0,105.0,86.0,1081918,154.0,0.0,0.0,Fire,2015.0
3116156,442.0,355.0,15.0,72.0,64.0,4394167,603.0,19.0,7.0,Fire,2015.0
193444,98.0,97.0,1.0,0.0,0.0,18619,13.0,0.0,0.0,Flood,2016.0
3548740,1287.0,1230.0,51.0,6.0,1.0,459709,175.0,0.0,0.0,Flood,2016.0
330427,170.0,169.0,1.0,0.0,0.0,59011,29.0,0.0,0.0,Flood,2016.0
4790666,1603.0,1507.0,91.0,5.0,1.0,1461010,679.0,0.0,0.0,Flood,2016.0
2167092,904.0,871.0,32.0,1.0,0.0,469094,237.0,0.0,0.0,Flood,2016.0
1153943,579.0,565.0,13.0,1.0,0.0,93398,51.0,0.0,0.0,Flood,2016.0
1528737,692.0,674.0,17.0,1.0,1.0,135187,100.0,0.0,0.0,Flood,2016.0
3434315,880.0,778.0,94.0,8.0,1.0,844856,307.0,1.0,0.0,Flood,2016.0
136879,94.0,94.0,0.0,0.0,0.0,6693,7.0,0.0,0.0,Flood,2016.0
4606434,1587.0,1496.0,80.0,11.0,4.0,714717,370.0,0.0,0.0,Flood,2016.0
6247275,1068.0,880.0,119.0,69.0,45.0,628425,213.0,0.0,0.0,Flood,2016.0
141438,68.0,65.0,3.0,0.0,0.0,11507,5.0,0.0,0.0,Flood,2016.0
422249,146.0,136.0,10.0,0.0,0.0,46756,16.0,0.0,0.0,Flood,2016.0
3894273,1264.0,1169.0,91.0,4.0,2.0,585232,240.0,0.0,0.0,Flood,2016.0
1088466,422.0,401.0,17.0,4.0,2.0,102567,51.0,0.0,0.0,Flood,2016.0
1162127,465.0,449.0,15.0,1.0,0.0,159149,90.0,0.0,0.0,Flood,2016.0
4788840,1210.0,1083.0,99.0,28.0,7.0,976042,314.0,0.0,0.0,Flood,2016.0
351393,163.0,161.0,2.0,0.0,0.0,51999,25.0,0.0,0.0,Flood,2016.0
148055,93.0,92.0,1.0,0.0,0.0,32803,18.0,0.0,0.0,Flood,2016.0
2464845,1319.0,1294.0,25.0,0.0,0.0,334342,222.0,0.0,0.0,Flood,2016.0
15509894,4197.0,3833.0,285.0,79.0,45.0,4591340,1501.0,3.0,0.0,Flood,2016.0
178787,76.0,73.0,3.0,0.0,0.0,20190,6.0,0.0,0.0,Flood,2016.0
11125518,2435.0,2112.0,262.0,61.0,21.0,1809420,753.0,1.0,0.0,Flood,2016.0
6500703,1672.0,1522.0,113.0,37.0,12.0,552417,253.0,0.0,0.0,Flood,2016.0
455574,65.0,50.0,11.0,4.0,2.0,109439,15.0,0.0,0.0,Severe Storm(s),2016.0
336340,34.0,25.0,3.0,6.0,5.0,22798,6.0,0.0,0.0,Severe Storm(s),2016.0
190529,38.0,33.0,4.0,1.0,1.0,70315,11.0,0.0,0.0,Severe Storm(s),2016.0
348400,151.0,143.0,8.0,0.0,0.0,44536,24.0,0.0,0.0,Severe Storm(s),2016.0
320540,56.0,45.0,10.0,1.0,0.0,32150,10.0,0.0,0.0,Severe Storm(s),2016.0
39302,12.0,12.0,0.0,0.0,0.0,16757,6.0,0.0,0.0,Severe Storm(s),2016.0
96880,16.0,13.0,2.0,1.0,1.0,19960,4.0,0.0,0.0,Severe Storm(s),2016.0
442343,76.0,56.0,20.0,0.0,0.0,19613,13.0,0.0,0.0,Severe Storm(s),2016.0
864405,196.0,169.0,27.0,0.0,0.0,578082,143.0,1.0,0.0,Severe Storm(s),2016.0
2122476,294.0,212.0,74.0,8.0,1.0,788397,157.0,2.0,1.0,Severe Storm(s),2016.0
2721577,603.0,514.0,86.0,3.0,1.0,316315,95.0,0.0,0.0,Severe Storm(s),2016.0
890731,205.0,179.0,24.0,2.0,0.0,75045,35.0,0.0,0.0,Severe Storm(s),2016.0
811778,248.0,232.0,14.0,2.0,1.0,30339,16.0,0.0,0.0,Severe Storm(s),2016.0
5396209,428.0,204.0,162.0,62.0,25.0,972631,169.0,1.0,0.0,Severe Storm(s),2016.0
415191,152.0,144.0,8.0,0.0,0.0,27088,17.0,0.0,0.0,Severe Storm(s),2016.0
37492,7.0,5.0,2.0,0.0,0.0,11152,3.0,0.0,0.0,Severe Storm(s),2016.0
400761,31.0,18.0,3.0,10.0,10.0,38301,10.0,0.0,0.0,Severe Storm(s),2016.0
212160,29.0,23.0,2.0,4.0,2.0,82240,28.0,0.0,0.0,Severe Storm(s),2016.0
840669,67.0,43.0,4.0,20.0,18.0,225969,34.0,3.0,2.0,Severe Storm(s),2016.0
282321,40.0,28.0,11.0,1.0,1.0,24455,6.0,0.0,0.0,Severe Storm(s),2016.0
19585,6.0,6.0,0.0,0.0,0.0,10963,4.0,0.0,0.0,Severe Storm(s),2016.0
26273,2.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,Severe Storm(s),2016.0
274183,28.0,21.0,1.0,6.0,4.0,49390,9.0,0.0,0.0,Severe Storm(s),2016.0
366552,19.0,8.0,2.0,9.0,5.0,43107,12.0,0.0,0.0,Severe Storm(s),2016.0
85939,24.0,21.0,3.0,0.0,0.0,25916,11.0,0.0,0.0,Flood,2016.0
2606,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2016.0
287340,32.0,22.0,6.0,4.0,0.0,2986,1.0,0.0,0.0,Flood,2016.0
181414,24.0,18.0,3.0,3.0,0.0,57323,14.0,0.0,0.0,Flood,2016.0
47104,10.0,9.0,1.0,0.0,0.0,8280,2.0,0.0,0.0,Flood,2016.0
35696,9.0,8.0,1.0,0.0,0.0,0,0,0,0,Flood,2016.0
1195133,113.0,76.0,16.0,21.0,8.0,444996,96.0,0.0,0.0,Flood,2016.0
173120,24.0,19.0,4.0,1.0,1.0,942,1.0,0.0,0.0,Flood,2016.0
549176,256.0,253.0,1.0,2.0,2.0,23164,15.0,0.0,0.0,Flood,2016.0
2191,1.0,1.0,0.0,0.0,0.0,0,0,0,0,Flood,2016.0
313134,28.0,18.0,3.0,7.0,3.0,42408,8.0,0.0,0.0,Flood,2016.0
3752751,369.0,240.0,78.0,51.0,24.0,640257,116.0,0.0,0.0,Flood,2016.0
92860,17.0,15.0,1.0,1.0,1.0,2542,2.0,0.0,0.0,Flood,2016.0
109959,20.0,16.0,4.0,0.0,0.0,611,1.0,0.0,0.0,Flood,2016.0
111824,16.0,12.0,3.0,1.0,1.0,0,0.0,0.0,0.0,Flood,2016.0
39586,7.0,5.0,2.0,0.0,0.0,1908,1.0,0.0,0.0,Flood,2016.0
289328,61.0,53.0,6.0,2.0,1.0,71512,20.0,0.0,0.0,Flood,2016.0
64687,10.0,8.0,2.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2016.0
204481,33.0,27.0,3.0,3.0,2.0,35435,11.0,0.0,0.0,Flood,2016.0
101049,11.0,7.0,3.0,1.0,1.0,0,0.0,0.0,0.0,Flood,2016.0
92741,31.0,30.0,0.0,1.0,1.0,51430,12.0,0.0,0.0,Flood,2016.0
6483,7.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Flood,2016.0
234087,33.0,27.0,3.0,3.0,1.0,11868,4.0,0.0,0.0,Flood,2016.0
93512,12.0,8.0,3.0,1.0,0.0,0,0,0,0,Flood,2016.0
557547,151.0,140.0,9.0,2.0,1.0,41181,15.0,0.0,0.0,Flood,2016.0
