disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh
870,Closed,2000-12-28T05:00:00.000Z,663441,667672,0,0,630000,0,14072,23600,0be5138b07678be3177f6f8ed5728783,2019-10-10T19:40:45.005Z
1231,Closed,2006-05-22T04:00:00.000Z,508104,512332,24195,0,459714,0,11026,17397,4899295e29d82f7333ce07aea27b41d0,2019-10-10T19:40:44.714Z
4303,Open,,2176650,757390,0,0,650952,106438,0,0,a13e240353a4dbc70c54b2c124cf5580,2019-10-10T19:40:44.991Z
4292,Open,,4195484,3468597.75,0,0,3263438.75,205159,0,0,c86b2a075d5b5f2f6aab74136c757430,2019-11-15T20:52:41.779Z
4297,Open,,4908607,1398609.25,242562.75,0,916015.5,240031,0,0,abc752bfa17ac00d9ef5c79422e3b2f6,2019-10-20T14:29:28.267Z
997,Open,,34246985,34133921,0,0,33035490,329282,148469,620680,13de541823ea56d05e29a0e395530545,2019-10-10T19:40:45.066Z
1168,Closed,2004-04-20T04:00:00.000Z,2588127,2697382,0,0,2588127,0,37598,71657,889f675c2b582bd1d36dffc6a6822e8c,2019-10-10T19:40:44.693Z
4293,Open,,1098347,397255,0,0,375885,21370,0,0,f0b628d02051eff34357a87d65c89fa2,2019-10-10T19:40:45.059Z
945,Closed,1995-11-24T05:00:00.000Z,74577,79353,0,0,73117,0,2311,3925,3bc06c3208dc251282a0ee41c7f9707f,2019-10-10T19:40:45.048Z
864,Closed,2001-07-16T04:00:00.000Z,855667,903942,0,0,845667,0,18705,39570,5053c8d6ae6d6644e8bea634ff5642a0,2019-10-10T19:40:44.695Z
1511,Closed,2015-08-18T04:00:00.000Z,1506612,262977,0,0,248724,0,6137,8116,05d1ca9ff86747ebfdea88917bf9b31c,2019-10-10T19:40:44.712Z
842,Closed,1999-11-17T05:00:00.000Z,5801211,5656728,0,0,5467716,0,63964,125048,9417cf7c6b1a19a8ae67113450d6562e,2019-10-10T19:40:44.974Z
1252,Closed,2002-12-23T05:00:00.000Z,270899,286725,0,0,270899,0,6602,9224,218f6989a74029d9cbcfb2e2be73e8c8,2019-10-10T19:40:44.921Z
4295,Open,,1801608,1792611.75,79886.75,0,1624626,88099,0,0,45515827e3f0080c6817ae72f623bfaa,2019-10-18T03:44:52.772Z
4304,Open,,1270887,1331822,27371,0,1243516,60935,0,0,33e434750516517f9271b59b783a3ae5,2019-10-10T19:40:44.924Z
1235,Closed,2006-12-11T05:00:00.000Z,617920,596959,0,0,566592,0,12685,17682,a7a5f5e109639e0a6ca7013473c2b915,2019-10-10T19:40:44.972Z
4307,Open,,2689362,1009805.25,0,0,878295.25,131510,0,0,9d8076e9bcf7b83210780b28e338a928,2019-10-10T19:40:45.045Z
