disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh
4050,Closed,2017-07-10T04:00:00.000Z,217491,227656,0,0,217021,10635,0,0,c82df6935013559119219c0d2212fa98,2019-10-10T19:40:44.984Z
4194,Closed,2018-10-26T04:00:00.000Z,948289,0,0,0,0,0,0,0,6f8644bfe2af903705ee98443ba95c3e,2019-10-10T19:40:44.959Z
1268,Closed,2003-09-17T04:00:00.000Z,111075,120352,5553,0,105509,0,3340,5950,831674bae4fc0c40769d439b66f754c5,2019-10-10T19:40:45.051Z
1446,Closed,2012-08-01T04:00:00.000Z,34265302,31049019,249041,79136,29301367,1017804,58085,343586,e66ae8f17627472256a3611256bae7d5,2019-10-10T19:40:44.699Z
4055,Closed,2019-08-13T04:00:00.000Z,2977380,3032978,111662,208221,2567501,145594,0,0,66190a4b62bbcaf0a119572bb885adfb,2019-10-10T19:40:45.061Z
4208,Open,,393113,412336,5931,0,387182,19223,0,0,96c61a061185e970fafe46159b180bf6,2019-10-10T19:40:44.924Z
1402,Closed,2008-04-23T04:00:00.000Z,6785243,6185233,0,9098,6148568,0,1601,25966,4bd6a462d72830164dadb0918f7ce070,2019-10-10T19:40:44.709Z
1380,Closed,2015-12-22T05:00:00.000Z,15402663,14135775,0,0,13755257,0,69095,311423,bb2120b4b7b892edfced3a192ae81a1a,2019-10-10T19:40:44.548Z
4379,Open,,5332101,768184.5,0,184500,505312.5,61797,0,0,a9a8842e4c48177badbffe7944613cc6,2019-12-21T20:32:03.725Z
4188,Open,,4763957,3477731,0,81820,3162954,232957,0,0,e0635ac806a3325a2b5d43baef9d1cd6,2019-11-14T20:49:54.475Z
4190,Closed,2017-09-13T04:00:00.000Z,323162,268862,16054,10588,226417,15803,0,0,64e081e3ad77ccc004d46cf3111c76cf,2019-10-10T19:40:45.292Z
4426,Open,,1325175,0,0,0,0,0,0,0,d518f5ce081b9958c572cdceb68b334f,2019-10-29T19:56:41.597Z
1942,Closed,2015-09-10T04:00:00.000Z,755256,230611,24750,0,169411,36450,0,0,31f57946aa1a461c3610e639bd5924d9,2019-10-10T19:40:44.686Z
4204,Open,,6159655,4798431.54,0,0,4798431.54,0,0,0,2579b89adcbd17afb33370065a9f1192,2019-10-10T19:40:45.291Z
868,Closed,2004-03-03T05:00:00.000Z,574501,610339,0,0,550409,24092,12948,22890,aa1f9fcfa745b89113a7305fb047690b,2019-10-10T19:40:45.010Z
1177,Closed,2002-07-15T04:00:00.000Z,1381220,1447578,133249,0,1247971,0,25224,41134,9643792dacf8a28a20450d5fe2d4586e,2019-10-10T19:40:45.292Z
835,Closed,1996-09-01T04:00:00.000Z,64397,33581,0,0,30758,0,978,1845,c7460f0d58c72805046283bcd8ea6dcd,2019-10-10T19:40:44.581Z
1394,Closed,2005-11-16T05:00:00.000Z,211386,136586,3410,0,125047,0,3658,4471,e3a9d1b21757d0f404bba51a6dce0251,2019-10-10T19:40:44.590Z
4373,Open,,755882,231876.5,25554,22500,183822.5,0,0,0,7402731fbfc3592124c419c771ebbfb5,2019-10-10T19:40:44.704Z
1188,Closed,2008-04-01T04:00:00.000Z,10156932,8720293,328021,0,7841469,330711,54224,165868,578721869ffe462e0fb6459fb81baf88,2019-10-10T19:40:44.577Z
1083,Closed,1996-01-12T05:00:00.000Z,0,0,0,0,0,0,0,0,a00a8adbd4b561583826fb2fcf546e92,2019-10-10T19:40:45.053Z
1461,Closed,2007-11-16T05:00:00.000Z,242065,203999,0,7474,169782,16390,4669,5684,6b47a0caddf071fe16073fb1e454e5d9,2019-10-10T19:40:44.716Z
1491,Closed,2013-09-18T04:00:00.000Z,19901515,16387580,585735,1269104,13469928,685735,88159,288919,d449e7446f97ebca3db1eb4926c6f9cb,2019-10-10T19:40:44.681Z
1088,Closed,1996-01-13T05:00:00.000Z,0,0,0,0,0,0,0,0,4b83b3f14e82a8367e81e8c7478053f1,2019-10-10T19:40:44.927Z
1572,Closed,2008-04-24T04:00:00.000Z,64108,8602,0,0,8030,0,251,321,1424def76654e248efe0dd226b2317b1,2019-10-10T19:40:44.598Z
1855,Closed,2018-02-01T05:00:00.000Z,7335686,4072594,289720,140944,3418753,223177,0,0,7accd9a8a8fab1868fa09748fc376f7d,2019-10-10T19:40:45.050Z
4410,Open,,506131,0,0,0,0,0,0,0,421eb6262f2c5e456f6368c85161b5b0,2019-12-17T20:32:32.571Z
1350,Closed,2011-09-29T04:00:00.000Z,284005,300092,0,0,259405,24600,6382,9705,1cf1466fd649e865f238da801f238b91,2019-10-10T19:40:44.713Z
1030,Closed,2001-11-30T05:00:00.000Z,333194,351088,0,0,333194,0,7864,10030,bedbe13a0ceb007801ae92adca3df35a,2019-10-10T19:40:44.726Z
1556,Closed,2011-04-22T04:00:00.000Z,3948349,2541082,0,0,2102274,382461,25089,31258,0f6f593c869826e2bf86dc5c1e50fc3f,2019-10-10T19:40:44.719Z
4063,Closed,2016-02-22T05:00:00.000Z,692472,726334,14251,0,678221,33862,0,0,a2bcd44d34977c6f676834e5cdab81b2,2019-10-10T19:40:45.027Z
1410,Closed,2009-09-17T04:00:00.000Z,4798643,3846550,77751,335905,3301990,0,49998,80906,a500b53516b48fa5b0f4b82072697366,2019-10-10T19:40:45.013Z
1821,Closed,2015-07-23T04:00:00.000Z,986455,532472,0,69052,415182,48238,0,0,379b7b40a01b4cabd514847e6863e613,2019-10-10T19:40:44.683Z
1905,Closed,2017-09-29T04:00:00.000Z,6215625,3401021,247248,251125,2598709,303939,0,0,b47c780258e540e124a13874c60a6ac6,2019-10-10T19:40:44.574Z
1082,Closed,1996-01-12T05:00:00.000Z,0,0,0,0,0,0,0,0,ec27655d8dd75c592f5b08e97480b642,2019-10-10T19:40:45.024Z
4059,Closed,2015-09-24T04:00:00.000Z,1663589,915156,0,0,915156,0,0,0,8a59d79c73a90047724ae3a43a72004b,2019-10-10T19:40:44.976Z
1560,Closed,2011-07-12T04:00:00.000Z,1106259,1135905,109469,64870,819780,102010,13451,26325,80d91f7e9b26fed3781e9f2638bf3573,2019-10-10T19:40:44.553Z
1756,Closed,2011-06-22T04:00:00.000Z,818900,10909,0,0,0,10909,0,0,aae0b79b5cc162bca3dcc2d4e7c96cf2,2019-10-10T19:40:44.965Z
4003,Closed,2015-12-17T05:00:00.000Z,1293026,1231142,0,87750,1091722,51670,0,0,63e736456198ed472220ec9a1fc38d60,2019-10-10T19:40:44.974Z
1277,Closed,2005-06-15T04:00:00.000Z,2460536,2449736,0,0,2233388,124597,35146,56605,77d3a1114321cbc81b5b620174e71e3f,2019-10-10T19:40:44.723Z
948,Closed,1999-02-01T05:00:00.000Z,86625,74988,0,0,68683,0,2184,4121,2cbd85d8d822b23f5c3a8279a8a02e86,2019-10-10T19:40:44.681Z
1935,Open,,53010484,52776035.55,0,641279,50154392.55,1980364,0,0,db13ef9d0fc5ddd0f34b302261de7820,2019-10-10T19:40:45.032Z
1851,Closed,2015-07-23T04:00:00.000Z,1406262,1308247,0,0,1239481,68766,0,0,9e641cb4c1e70bc15ac247c540f5def9,2019-10-10T19:40:45.040Z
1089,Closed,1996-01-13T05:00:00.000Z,0,0,0,0,0,0,0,0,1d80500398bde051077260788e2a43c7,2019-10-10T19:40:44.580Z
1838,Closed,2016-07-15T04:00:00.000Z,7176483,4283824,156807,0,4127017,0,0,0,5c5b1a1e7f1b4f0c82b6e0809b5e3403,2019-10-10T19:40:44.970Z
1989,Closed,2018-09-12T04:00:00.000Z,1636141,1653744.81,64900,68820,1474650,45374.81,0,0,34dd50816c0fe436cc19fbb72b447a62,2019-10-10T19:40:44.920Z
1347,Closed,2009-05-28T04:00:00.000Z,1305047,1343739,24020,0,1228021,31062,23664,36972,9bc66ba257387e93c751c5505f323596,2019-10-10T19:40:44.715Z
1333,Closed,2010-08-15T04:00:00.000Z,4784611,4661056,0,0,4412764,70042,49865,128385,248b9ff86aaa45f0def6d9b4a6305587,2019-10-10T19:40:45.015Z
1848,Closed,2014-08-19T04:00:00.000Z,2269688,2065029,68332,25674,1938403,32620,0,0,2917ec6cc8b3070680d8d3202d440684,2019-10-10T19:40:44.673Z
1258,Closed,2006-03-31T05:00:00.000Z,2594467,2546649,33406,0,2461343,0,5366,46534,fb8583aef18921c8442aa9ff5ef58dca,2019-10-10T19:40:44.723Z
1638,Closed,2010-06-10T04:00:00.000Z,311005,238076,0,0,236876,0,0,1200,e49640a9b3992c767d43b17eccc9a889,2019-10-10T19:40:44.577Z
4350,Open,,1495789,366015,48750,0,123810,193455,0,0,102d27dc3769f37b53e857eb31705d17,2019-12-13T20:31:35.246Z
4387,Open,,399472,65005,12534,6375,40875,5221,0,0,9b77dc624de788a3b9432452f86a1c95,2019-11-14T20:49:54.212Z
1553,Closed,2012-04-03T04:00:00.000Z,3119700,924963,0,0,790885,109924,13634,10520,a0e2390e969956637bfeb4d36a9d9c61,2019-10-10T19:40:44.702Z
1558,Closed,2010-09-08T04:00:00.000Z,3239289,2245014,0,0,2198001,0,7166,39847,8e2d68d4081d6b65159b7330bb52072b,2019-10-10T19:40:44.723Z
1915,Closed,2017-02-06T05:00:00.000Z,3341484,2780704,0,94473,2522832,163399,0,0,9d8443a29727ad8ee7ca4ca5711cb99d,2019-10-10T19:40:44.725Z
1361,Closed,2011-05-18T04:00:00.000Z,19591125,18838111,441371,939056,16210604,753947,64852,428281,a96a6ad8f334752a856b0efd4e24eff5,2019-10-10T19:40:44.712Z
1856,Closed,2015-07-23T04:00:00.000Z,368166,185505,0,25352,142150,18003,0,0,c97e2d445e4538a6ae8397ea2991edac,2019-10-10T19:40:44.693Z
1925,Open,,4118251,3165594.45,276899,0,2687313.45,201382,0,0,2860d6032a8fb715c5b83b330042c8cb,2019-10-10T19:40:44.998Z
1086,Closed,1996-01-13T05:00:00.000Z,0,0,0,0,0,0,0,0,bdc3b58e60290306916fd6bf2264c5ce,2019-10-10T19:40:44.920Z
1306,Closed,2010-10-21T04:00:00.000Z,25867081,21423043,2483388,0,17674246,952942,142405,170062,7059c66713a5c157f05f811469d9ef1d,2019-10-10T19:40:44.593Z
4360,Open,,13763851,9536964.5,0,795180,8656957.5,84827,0,0,bf60fb278f380953daeead2b091b639d,2019-11-20T20:32:48.507Z
1913,Closed,2016-05-31T04:00:00.000Z,425111,402888,0,0,402010,878,0,0,43d8750dd82a3ef6f08c3bbd33a66d82,2019-10-10T19:40:44.975Z
1887,Closed,2016-11-30T05:00:00.000Z,9889783,9243656,128117,114750,8517148,483641,0,0,83a1155279ab5f13d092f4dc56f5ffa8,2019-10-10T19:40:45.078Z
1833,Closed,2015-12-29T05:00:00.000Z,5488365,5450849,440759,309856,4431853,268381,0,0,f398258627e580531254a3ee62aef5bc,2019-10-10T19:40:44.703Z
1310,Closed,2008-05-28T04:00:00.000Z,948695,250405,71576,0,105738,60615,5794,6682,8307f57d2cd9a6c18fb6487cbe8396b0,2019-10-10T19:40:44.594Z
4051,Open,,10776528,9238098.61,54789,176550.62,8479803.99,526955,0,0,225a3114673a079f9f6ee1a3430e4d12,2019-10-10T19:40:45.050Z
1370,Closed,2012-03-07T05:00:00.000Z,5625419,5117141,11250,393766,4584426,0,17440,110259,cb26503f4be94d902c46c52b73f224c8,2019-10-10T19:40:44.557Z
1340,Closed,2005-08-24T04:00:00.000Z,290766,311009,7559,0,258607,24600,7079,13164,78b4e433abb1bda176389d40c106afda,2019-10-10T19:40:44.986Z
1655,Closed,2011-06-27T04:00:00.000Z,412192,307609,18348,0,279500,0,1087,8674,d703b6c8c7e8ce846027274c020cf8fb,2019-10-10T19:40:44.578Z
1213,Closed,2003-07-24T04:00:00.000Z,299125,264330,0,0,237604,11182,6163,9381,80455334ab4e3b9d81cc3ecb5df98091,2019-10-10T19:40:45.016Z
1378,Closed,2009-01-29T05:00:00.000Z,12356664,11061441,263904,772343,9645970,0,93875,285349,834ca25fa1e73e634fe2c53d68394555,2019-10-10T19:40:44.726Z
4357,Open,,4201983,0,0,0,0,0,0,0,0b99830204717a105b3084ae88c496fe,2019-10-10T19:40:44.705Z
1102,Closed,2001-03-02T05:00:00.000Z,2866735,2990708,0,0,2802990,63745,40502,83471,7d6c42489670b057879c84c0a13a7ad0,2019-10-10T19:40:44.954Z
851,Open,,0,0,0,0,0,0,0,0,0b607eca0249cc0e2d5b0172dcedd73d,2019-10-10T19:40:44.683Z
4371,Open,,365063,2725,0,0,0,2725,0,0,9a527806fd2be618160b23bd13dbce34,2019-10-10T19:40:44.673Z
1667,Closed,2012-04-12T04:00:00.000Z,128676,128567,0,0,128000,0,1,566,2a20e8c900595d4ad4d21aa9e8ab4135,2019-10-10T19:40:44.925Z
1085,Closed,1996-01-13T05:00:00.000Z,0,0,0,0,0,0,0,0,c713446e3f34b52ff3a0b94496bb0b41,2019-10-10T19:40:45.004Z
1196,Closed,2003-03-17T05:00:00.000Z,6544712,4770785,330211,0,3960317,290129,58127,132001,18f3f2054b1cc3dca20f382521baa948,2019-10-10T19:40:44.945Z
1110,Closed,2002-06-20T04:00:00.000Z,421005,444508,6500,0,414505,0,9696,13807,3870d62e110e37ff0cfb0deaa6d79fca,2019-10-10T19:40:44.692Z
1311,Closed,2006-12-11T05:00:00.000Z,5376918,5289650,0,363672,4653368,97613,62138,112859,fdea2b5e5537adac02a75b1c0ada28f7,2019-10-10T19:40:44.721Z
1611,Closed,2015-01-15T05:00:00.000Z,80756,68814,0,0,51418,14264,1589,1543,6557319c7025d215600d6d06402c1e81,2019-10-10T19:40:44.580Z
1951,Closed,2016-12-06T05:00:00.000Z,338662,148960,0,0,148960,0,0,0,9f7d9150b905c8b1ad27386fa9a4858c,2019-10-10T19:40:44.985Z
1020,Closed,2004-02-17T05:00:00.000Z,799595,838051,0,0,739667,59246,17413,21725,ede93f00c78ee280bde59fe4cdcdb857,2019-10-10T19:40:45.041Z
1615,Closed,2012-10-23T04:00:00.000Z,582089,0,0,0,0,0,0,0,84ffd6d962ce451dac24f8161f02875c,2019-10-10T19:40:44.948Z
1494,Closed,2006-09-08T04:00:00.000Z,293579,287623,14679,0,248201,8463,6454,9826,dd63cba63b169b59a52e90448594f240,2019-10-10T19:40:45.060Z
1262,Closed,2007-07-03T04:00:00.000Z,1499776,1494499,0,0,1404700,25582,25688,38529,d891b1feafb2e4f930c05d30165bb64d,2019-10-10T19:40:44.995Z
1278,Closed,2006-09-14T04:00:00.000Z,116847,113954,0,0,110005,0,15,3934,cff43651c7bb08e89ff1016a85b905d4,2019-10-10T19:40:45.055Z
1169,Closed,2001-04-04T04:00:00.000Z,461396,96995,0,0,90750,0,2825,3420,895202e157715a84ba927cc8a1f00aee,2019-10-10T19:40:44.724Z
1422,Closed,2009-08-19T04:00:00.000Z,917605,831698,86219,181108,390516,136395,14625,22835,ead33327fe4dc6b072ef2312dac3395e,2019-10-10T19:40:44.579Z
1594,Closed,2009-12-08T05:00:00.000Z,271547,181466,0,0,171357,0,4539,5570,46d55c59e8a54460d6b4de8fa7d6bc1e,2019-10-10T19:40:44.556Z
1087,Closed,1996-01-13T05:00:00.000Z,0,0,0,0,0,0,0,0,b01c31c545d6dad64316405bed7fd22c,2019-10-10T19:40:44.978Z
1668,Closed,2010-01-18T05:00:00.000Z,2539771,0,0,0,0,0,0,0,cbbda65b07fd242094977a89b2e47778,2019-10-10T19:40:45.018Z
1255,Closed,2002-03-18T05:00:00.000Z,804948,844215,0,0,804948,0,17534,21733,3129dfe4472fcd17459b14466267dcdd,2019-10-10T19:40:44.923Z
4074,Closed,2017-09-24T04:00:00.000Z,227876,230763,9748,0,216482,4533,0,0,4bfeebdfbbb7c8132fb7e0853b0bb77e,2019-10-10T19:40:45.291Z
970,Open,,0,0,0,0,0,0,0,0,77a53d1efce33a167ef15aa1b355bb12,2019-10-10T19:40:44.698Z
4362,Open,,6703141,282552,0,255000,0,27552,0,0,d75bd74cdc51687fdd771495a2ede9dd,2019-11-14T20:49:54.217Z
1279,Closed,2009-01-15T05:00:00.000Z,12558624,11742244,555854,0,10810657,49500,93690,232543,5caae0261ffd1a03b32413429038089c,2019-10-10T19:40:44.699Z
1329,Closed,2013-04-23T04:00:00.000Z,2292570,1557307,109628,0,1396252,0,12564,38863,24c2c7766b2f366d3b2d4f3d116287e5,2019-10-10T19:40:45.005Z
1917,Closed,2019-03-06T05:00:00.000Z,2315849,2081508.77,94247,140071,1733945.77,113245,0,0,08b6d7187df4ab942cb0a51e476ab02b,2019-10-10T19:40:44.988Z
4335,Open,,32911211,18563867,2031719,0,16182685,349463,0,0,22e039803bd522021a46179939dd44c5,2019-10-10T19:40:44.696Z
1424,Closed,2003-09-20T04:00:00.000Z,207981,218396,0,0,177845,30136,4672,5743,bb9d1930ab27d0817efa88a755c3b627,2019-10-10T19:40:45.053Z
1091,Closed,1996-01-24T05:00:00.000Z,0,0,0,0,0,0,0,0,a5ac3cec09692389d8d39572f37af20a,2019-10-10T19:40:45.061Z
1754,Closed,2013-08-07T04:00:00.000Z,1934687,75650,0,66000,0,9650,0,0,fb5518c0a08c7519274874ea28651798,2019-10-10T19:40:45.038Z
1425,Closed,2012-07-09T04:00:00.000Z,11388366,10058379,0,0,9467404,285640,84441,220894,4ba284066789245ff0e10758d5f94475,2019-10-10T19:40:45.051Z
4336,Open,,4228662,410448,0,0,252500,157948,0,0,6f4203217616ce41e38388edb1c4db52,2019-10-10T19:40:44.709Z
950,Closed,1996-09-01T04:00:00.000Z,26350,28769,0,0,26350,0,838,1581,1d38188d5369ac96c8f5beedbc639e31,2019-10-10T19:40:45.048Z
1060,Closed,2000-02-17T05:00:00.000Z,393000,415540,0,0,393000,0,9128,13412,0738af02cd51490c817a465322fd4756,2019-10-10T19:40:44.956Z
4394,Open,,17210733,0,0,0,0,0,0,0,595c5513c63f84dd2922b2a971d89e85,2019-10-10T19:40:44.689Z
4057,Open,,5113904,3180368,382109,48703,2499486,250070,0,0,92449e6d2bf0e1e3c57a1df770ca9881,2019-10-10T19:40:44.950Z
960,Open,,0,0,0,0,0,0,0,0,1c4d674392693c73a641fd0a3e669771,2019-10-10T19:40:45.066Z
1372,Closed,2007-02-20T05:00:00.000Z,1800754,310644,68688,46501,178371,0,6689,10395,96b725ccd917658ed6bd112b05b6fed3,2019-10-10T19:40:44.556Z
1421,Closed,2006-07-25T04:00:00.000Z,351144,55096,13906,0,29000,6956,1402,3832,11bd4ba09af126fc50702bd099faf105,2019-10-10T19:40:44.709Z
1376,Closed,2010-05-05T04:00:00.000Z,3677898,3517976,129843,208432,3010984,41521,45311,81885,f2748e652e7bb5e73e5ff795f2d0ddcb,2019-10-10T19:40:44.715Z
4352,Closed,2019-11-04T05:00:00.000Z,2123939,0,0,0,0,0,0,0,54de4d743edf226e4d33297eb59a3902,2019-12-18T20:32:11.655Z
940,Closed,2001-06-13T04:00:00.000Z,251959,271266,0,0,251959,0,6299,13008,7400644623c3a4308f4eca9b1508d572,2019-10-10T19:40:44.710Z
1049,Closed,2015-09-29T04:00:00.000Z,15947618,15814468,979768,0,14396094,0,114501,324105,1f7b8695f00afc415730d2a0ef83cc9a,2019-10-10T19:40:44.996Z
1434,Closed,2008-09-24T04:00:00.000Z,2080994,1396381,0,0,1239714,95213,23394,38060,c58a26846f8fc89c568faebceb2bc9ee,2019-10-10T19:40:44.713Z
1857,Closed,2018-01-24T05:00:00.000Z,5895761,1007258,0,352797,654461,0,0,0,ab180348de3c8f00eb88df9e66ba00ef,2019-10-10T19:40:44.967Z
4333,Open,,468670,248852,0,32807,193127,22918,0,0,9c0226ab87253f06beb4d4e7b5ebf0e1,2019-10-10T19:40:44.722Z
862,Open,,0,0,0,0,0,0,0,0,4d2bb6d8ee6e8c61bace2c2d109092b1,2019-10-10T19:40:45.028Z
4345,Open,,1193906,680329,0,75750,590826,13753,0,0,1d9f06121dfe9ea453e68473c0abc7ff,2019-11-07T20:31:46.180Z
4338,Open,,25226022,2985220.25,1186011.75,1117740,429697.5,251771,0,0,6e2f6a1e9925ac9457c7c94beb590efb,2019-11-22T20:47:29.706Z
1946,Closed,2015-08-17T04:00:00.000Z,2626447,288278,82539,0,166009,39730,0,0,2ed15f0e44e85177826eefe002219f9d,2019-10-10T19:40:44.666Z
1094,Closed,2002-08-10T04:00:00.000Z,841685,887416,31106,0,778149,32430,18381,27350,73f88ba03711abcafa2ffc7cd49ed922,2019-10-10T19:40:45.035Z
1605,Open,,71736951,61928938.39,6956760,2662126,48428900,2488869,331542.63,1060740.76,271e5672bf122bcd8504f3a77834e2c4,2019-10-10T19:40:44.695Z
1726,Closed,2012-11-23T05:00:00.000Z,1284136,1248152,0,24003,1180133,7305,2281,34430,a9ffae3af2e785a7d50d65036bf3a4bb,2019-10-10T19:40:44.999Z
1354,Closed,2016-03-16T04:00:00.000Z,29378589,28495935,211005,52006,27457189,149171,133498,493066,2a6164b031a21862b557d912f04fb327,2019-10-10T19:40:44.723Z
4239,Open,,3195940,2503752,146448.5,76125,2124897.5,156281,0,0,d41ba9bdd8fa48476bbaa66444138b5b,2019-10-10T19:40:44.972Z
1588,Closed,2009-09-30T04:00:00.000Z,193073,125025,0,0,125025,0,0,0,0c86f9c847d1630afd38d8ac673dae0d,2019-10-10T19:40:44.980Z
1382,Closed,2004-06-24T04:00:00.000Z,248997,0,0,0,0,0,0,0,f6db21649c57d4dcde3e1e5dc66ac020,2019-10-10T19:40:44.711Z
1818,Open,,48743504,46994670,3553354,1363574,39694185,2383557,0,0,7a40aaa6a98f1449842850b7ec82bf4d,2019-10-10T19:40:45.060Z
4389,Open,,77334,0,0,0,0,0,0,0,d33c611836d4bedf976e5320161541e5,2019-10-10T19:40:45.025Z
4062,Closed,2017-08-22T04:00:00.000Z,533344,95524,26500,34449,0,34575,0,0,111bed33b2cbea87564939444d9d8622,2019-10-10T19:40:45.053Z
1505,Closed,2013-06-18T04:00:00.000Z,3179622,2218157,157500,119278,1704415,150558,31362,55044,1ae00db0d10a68f228e476c778c05fda,2019-10-10T19:40:45.071Z
1294,Closed,2005-11-30T05:00:00.000Z,4664145,4277685,216723,0,3907047,0,53244,100671,d47cb9299df6cc5deb99eb731b0cbf44,2019-10-10T19:40:44.581Z
1853,Closed,2016-08-03T04:00:00.000Z,740745,410465,28923,0,381542,0,0,0,c97304736004eb1ded9683948de93333,2019-10-10T19:40:45.009Z
1259,Closed,2001-11-06T05:00:00.000Z,1061398,1129100,106436,0,630210,324752,16093,51609,846663b3d5d86899c3eebb4beea09e16,2019-10-10T19:40:44.936Z
4340,Open,,428927038,46528546,10938711,4932697,27866922,2748459,0,0,c42476a0242b58c18f55fad9df1031f7,2019-12-03T20:31:41.051Z
900,Closed,1997-02-01T05:00:00.000Z,193763,209532,0,0,193763,0,5089,10680,159c55331998c49687ba17ac19fccdc8,2019-10-10T19:40:44.985Z
1386,Closed,2006-04-19T04:00:00.000Z,1760576,1663497,4619,81750,1423028,92208,26480,35412,5634d3aa99f0a3fe16a2df4651bac9cf,2019-10-10T19:40:44.556Z
4351,Open,,2019976,31800,31800,0,0,0,0,0,91a201c3f9c79a9367772c9b3cb4915a,2019-10-10T19:40:44.688Z
1092,Closed,1996-01-24T05:00:00.000Z,0,0,0,0,0,0,0,0,9e69b486500426270756c9815f8dc7da,2019-10-10T19:40:45.030Z
871,Open,,424143,451951,0,0,424143,0,9842,17966,386ff03610e6bb6db4637f1ada8cd02e,2019-10-10T19:40:44.701Z
1318,Closed,2005-09-02T04:00:00.000Z,2007672,1454376,12782,0,1369902,0,30450,41242,4aaee39b4d7140cf6f3a35c424d82f7b,2019-10-10T19:40:44.704Z
1554,Closed,2011-04-04T04:00:00.000Z,1321742,892147,132172,0,686579,40434,9880,23082,5f3ed1f3020ccdc0453c31000b1eb4a6,2019-10-10T19:40:44.718Z
1383,Closed,2005-12-15T05:00:00.000Z,1739449,1800672,0,0,1737782,0,28720,34170,cd653343c33d469d4765ad1c4cd6e87c,2019-10-10T19:40:44.712Z
971,Closed,1999-03-02T05:00:00.000Z,49884,28408,0,0,26020,0,827,1561,8dd472fac0dbab1482dbe7e71514f98a,2019-10-10T19:40:45.012Z
4375,Open,,1057540,227855.75,32116.5,0,188446.25,7293,0,0,40bb9d8288d2f7d947e6b2357e190e79,2019-11-27T20:32:21.629Z
1363,Closed,2009-04-03T04:00:00.000Z,422206,431125,0,0,415819,1641,1576,12089,03197414c7897129b44e285160a78266,2019-10-10T19:40:45.026Z
4343,Open,,1662972,1112268.38,17609.25,19215,1056908.13,18536,0,0,07bbef4ceaa924acda97b003fb517ca3,2019-12-20T20:32:17.746Z
1221,Closed,2001-04-17T04:00:00.000Z,313566,330387,0,0,313566,0,7459,9362,b092ddb21d4905d30571fddb54e7c403,2019-10-10T19:40:45.066Z
1342,Closed,2010-08-03T04:00:00.000Z,952763,1000930,47638,0,887071,18054,20606,27561,04108b6e4cf7b549621aa627644f50d1,2019-10-10T19:40:44.704Z
1941,Closed,2018-09-14T04:00:00.000Z,4222540,996035,139244,238287,412022,206482,0,0,eca1bf4a62bc9e26d1ab8b1466cf65a4,2019-10-10T19:40:45.044Z
1260,Closed,2010-08-02T04:00:00.000Z,1867949,1875688,0,0,1623112,179293,29028,44255,cc16f8910b7d0e6aa1e70a5a3b864637,2019-10-10T19:40:45.023Z
1331,Closed,2009-10-06T04:00:00.000Z,532552,449273,0,0,402601,25009,9790,11873,d9e3d06bf75a8ffb09f3a4603f7623e0,2019-10-10T19:40:44.716Z
1496,Closed,2005-02-08T05:00:00.000Z,112320,0,0,0,0,0,0,0,2816d034537e8d6604fdbc32060a84fa,2019-10-10T19:40:44.684Z
4378,Open,,334632,0,0,0,0,0,0,0,eb098fa6d2cd10aa6b2c3ed18c0962ff,2019-10-10T19:40:44.723Z
1653,Closed,2010-08-25T04:00:00.000Z,199751,52500,0,52500,0,0,0,0,8c0c2b307cd354e3efa515037673b02e,2019-10-10T19:40:44.555Z
4353,Open,,56578663,2322809.06,500188.25,1151479.81,421643,249498,0,0,8dfb0ef6350f4f371df94b0458b558b9,2019-12-14T20:31:37.510Z
1688,Closed,2014-04-03T04:00:00.000Z,12157523,8187875,570519,667981,6275729,457476,35981,180189,bfbb65175bb1aef951f6da38989b9cdc,2019-10-10T19:40:45.074Z
1757,Closed,2014-05-06T04:00:00.000Z,509501,488767,30324,0,436334,22109,0,0,c1a69fd1c112d929056282931a785cd3,2019-10-10T19:40:45.059Z
4376,Open,,2574634,0,0,0,0,0,0,0,ba19a1100fd026c9955e86198eea7986,2019-10-10T19:40:44.697Z
964,Closed,1998-01-27T05:00:00.000Z,198369,213355,0,0,195537,2832,5164,9822,e9caac3db4f28bfb21638a73ff52e8f2,2019-10-10T19:40:44.678Z
1284,Closed,2008-03-03T05:00:00.000Z,609044,641581,0,0,604500,4544,13416,19121,62a4cb38c36c6f13a8096c537ce85c5a,2019-10-10T19:40:45.071Z
894,Open,,0,0,0,0,0,0,0,0,d69f0a944484385742679c20348716b8,2019-10-10T19:40:45.054Z
889,Closed,2004-01-22T05:00:00.000Z,372617,381314,15000,0,342617,0,8450,15247,73aa87ed2179b485f29d22ed8de7addc,2019-10-10T19:40:44.915Z
4339,Open,,2999975000,35305726,18444841,12419785,2991100,1450000,0,0,0710eaff7c56a86b0418e781c300b6a9,2019-10-10T19:40:44.997Z
1782,Closed,2014-02-25T05:00:00.000Z,227227,206865,0,0,206192,673,0,0,0b189819fc60ba2a068d30cb5185ac30,2019-10-10T19:40:44.689Z
883,Closed,2000-03-22T05:00:00.000Z,3321872,3490736,0,0,3215640,100000,45453,129643,a071803ad9de13b0b6ef99e7246d502d,2019-10-10T19:40:45.040Z
