Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants,address
4116,IL,Lake (County),SPRING GROVE,60081,2,2,0,1,0,1,2,"$6,936",$0,"$4,092","$2,844",2,0,0,0,"4116, IL, Lake (County)"
4116,IL,McHenry (County),SPRING GROVE,60081,3,3,1,2,0,0,2,"$3,919",$0,"$1,630","$2,289",2,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Lake (County),BEACH PARK,60083,3,2,1,1,0,0,2,"$7,000",$0,"$4,804","$2,196",2,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),WADSWORTH,60083,2,2,1,1,0,0,2,"$3,616",$0,"$2,462","$1,154",2,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),PARK CITY,60085,24,23,15,6,0,2,13,"$39,603",$0,"$13,342","$26,261",13,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),WAUKEGAN,60085,225,206,167,27,4,8,71,"$128,164",$0,"$74,469","$53,695",70,1,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),BEACH PARK,60087,10,10,3,7,0,0,7,"$15,854",$0,"$15,342",$512,7,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),WAUKEGAN,60087,52,51,39,10,0,2,18,"$35,633",$0,"$21,508","$14,125",18,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),GREAT LAKES,60088,2,2,2,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Lake (County)"
4116,IL,Cook (County),BUFFALO GROVE,60089,1,1,1,0,0,0,1,$60,$0,$0,$60,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),WHEELING,60090,11,10,7,3,0,0,4,"$6,493",$0,"$5,722",$771,4,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),WILMETTE,60091,14,12,7,4,0,1,3,"$4,138",$0,"$2,462","$1,676",3,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),NORTHFIELD,60093,1,0,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),WINNETKA,60093,1,0,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,Lake (County),WINTHROP HARBOR,60096,3,3,2,1,0,0,1,$300,$0,$0,$300,1,0,0,0,"4116, IL, Lake (County)"
4116,IL,McHenry (County),WOODSTOCK,60098,3,3,2,1,0,0,2,"$2,936",$0,"$1,932","$1,004",2,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Lake (County),BEACH PARK,60099,8,8,1,6,0,1,7,"$15,144",$0,"$13,820","$1,324",7,0,0,0,"4116, IL, Lake (County)"
4116,IL,Lake (County),ZION,60099,414,400,151,223,9,17,273,"$711,680",$0,"$505,602","$206,078",269,4,0,0,"4116, IL, Lake (County)"
4116,IL,DuPage (County),ADDISON,60101,41,40,28,4,1,7,19,"$83,306",$0,"$44,301","$39,005",17,2,0,0,"4116, IL, DuPage (County)"
4116,IL,Kane (County),ALGONQUIN,60102,2,1,0,1,0,0,1,$265,$0,$0,$265,1,0,0,0,"4116, IL, Kane (County)"
4116,IL,McHenry (County),ALGONQUIN,60102,4,3,0,1,1,1,2,"$5,068",$0,"$3,260","$1,808",2,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Cook (County),BARTLETT,60103,2,2,2,0,0,0,1,$920,$0,$0,$920,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,DuPage (County),BARTLETT,60103,4,3,3,0,0,0,1,$300,$0,$0,$300,1,0,0,0,"4116, IL, DuPage (County)"
4116,IL,Cook (County),BELLWOOD,60104,509,469,210,132,8,119,323,"$1,214,859",$0,"$668,141","$546,718",305,17,1,0,"4116, IL, Cook (County)"
4116,IL,DuPage (County),BELLWOOD,60104,1,1,0,1,0,0,1,"$3,370",$0,"$1,932","$1,438",1,0,0,0,"4116, IL, DuPage (County)"
4116,IL,Cook (County),BENSENVILLE,60106,2,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,DuPage (County),BENSENVILLE,60106,8,6,5,1,0,0,1,"$1,718",$0,$0,"$1,718",1,0,0,0,"4116, IL, DuPage (County)"
4116,IL,Cook (County),STREAMWOOD,60107,11,11,6,5,0,0,4,"$9,498",$0,"$9,426",$72,4,0,0,0,"4116, IL, Cook (County)"
4116,IL,DuPage (County),BLOOMINGDALE,60108,5,5,3,1,0,1,2,"$5,764",$0,"$5,764",$0,2,0,0,0,"4116, IL, DuPage (County)"
4116,IL,Kane (County),CARPENTERSVILLE,60110,10,10,7,3,0,0,3,"$6,941",$0,"$5,234","$1,707",3,0,0,0,"4116, IL, Kane (County)"
4116,IL,DeKalb (County),CORTLAND,60112,2,1,0,1,0,0,1,"$3,378",$0,"$2,290","$1,088",1,0,0,0,"4116, IL, DeKalb (County)"
4116,IL,DeKalb (County),DEKALB,60115,35,30,28,2,0,0,13,"$17,840",$0,"$5,552","$12,288",13,0,0,0,"4116, IL, DeKalb (County)"
4116,IL,Kane (County),EAST DUNDEE,60118,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Kane (County)"
4116,IL,Kane (County),SLEEPY HOLLOW,60118,1,1,0,1,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Kane (County)"
4116,IL,Kane (County),ELBURN,60119,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Kane (County)"
4116,IL,Cook (County),ELGIN,60120,10,10,9,1,0,0,1,$185,$0,$0,$185,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Kane (County),ELGIN,60120,25,22,22,0,0,0,4,"$3,447",$0,$0,"$3,447",4,0,0,0,"4116, IL, Kane (County)"
4116,IL,Kane (County),ELGIN,60123,25,25,23,2,0,0,7,"$12,928",$0,"$7,302","$5,626",7,0,0,0,"4116, IL, Kane (County)"
4116,IL,Kane (County),ELGIN,60124,2,2,2,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Kane (County)"
4116,IL,DuPage (County),ELMHURST,60126,70,63,41,10,2,10,25,"$70,836",$0,"$46,384","$24,452",24,1,0,0,"4116, IL, DuPage (County)"
4116,IL,Cook (County),FOREST PARK,60130,58,51,42,6,0,3,17,"$60,174",$0,"$44,650","$15,524",15,2,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),FRANKLIN PARK,60131,17,14,6,4,1,3,12,"$33,929",$0,"$14,796","$19,133",12,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),HANOVER PARK,60133,11,10,7,2,0,1,3,"$4,942",$0,"$2,462","$2,480",3,0,0,0,"4116, IL, Cook (County)"
4116,IL,DuPage (County),HANOVER PARK,60133,16,15,8,7,0,0,13,"$18,159",$0,"$8,206","$9,953",13,0,0,0,"4116, IL, DuPage (County)"
4116,IL,Kane (County),GENEVA,60134,3,3,1,1,0,1,2,"$5,884",$0,"$4,394","$1,490",2,0,0,0,"4116, IL, Kane (County)"
4116,IL,Kane (County),GILBERTS,60136,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Kane (County)"
4116,IL,DuPage (County),GLEN ELLYN,60137,24,23,14,5,1,3,11,"$35,609",$0,"$23,692","$11,917",11,0,0,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),GLENDALE HEIGHTAS,60139,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),GLENDALE HEIGHTS,60139,28,26,21,5,0,0,13,"$45,898",$0,"$31,868","$14,030",12,0,1,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),ITASCA,60143,6,5,4,1,0,0,2,"$3,120",$0,"$2,462",$658,2,0,0,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),LOMBARD,60148,81,68,33,21,5,9,40,"$147,702",$0,"$72,324","$75,378",37,3,0,0,"4116, IL, DuPage (County)"
4116,IL,DeKalb (County),MALTA,60150,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, DeKalb (County)"
4116,IL,McHenry (County),MARENGO,60152,2,2,0,2,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Cook (County),BROADVIEW,60153,2,2,1,1,0,0,2,"$2,726",$0,"$1,932",$794,2,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),MAYWOOD,60153,526,503,276,142,2,83,294,"$956,244",$0,"$597,860","$358,384",274,18,2,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),WESTCHESTER,60154,91,84,49,24,2,9,46,"$135,872",$508,"$73,685","$61,679",44,2,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),BROADVIEW,60155,126,119,83,22,1,13,52,"$172,380",$0,"$122,973","$49,407",46,6,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),MAYWOOD,60155,1,1,1,0,0,0,1,$265,$0,$0,$265,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,DuPage (County),BROADVIEW,60155,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, DuPage (County)"
4116,IL,McHenry (County),LAKE IN THE HILLS,60156,1,0,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, McHenry (County)"
4116,IL,Cook (County),MELROSE PARK,60160,118,115,65,27,0,23,73,"$170,731",$0,"$52,470","$118,261",73,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),HILLSIDE,60162,117,114,50,29,6,29,72,"$300,925",$0,"$129,261","$171,665",66,6,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),BERKELEY,60163,44,40,26,6,1,7,18,"$44,063",$0,"$24,978","$19,085",18,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),MELROSE PARK,60164,21,20,13,5,0,2,12,"$19,962",$0,"$6,132","$13,830",12,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),NORTHLAKE,60164,24,20,11,7,0,2,12,"$35,608",$0,"$21,420","$14,188",11,1,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),STONE PARK,60165,64,58,24,14,6,14,40,"$233,058",$0,"$78,460","$154,598",34,6,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),HOFFMAN ESTATES,60169,12,11,11,0,0,0,2,"$4,890",$0,$0,"$4,890",2,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),RIVER GROVE,60171,22,21,12,4,2,3,11,"$44,474",$0,"$27,442","$17,032",10,1,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),ROSELLE,60172,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,DuPage (County),ROSELLE,60172,4,3,2,1,0,0,1,"$2,992",$0,"$2,462",$530,1,0,0,0,"4116, IL, DuPage (County)"
4116,IL,Cook (County),SCHAUMBURG,60173,3,3,3,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,Kane (County),SAINT CHARLES,60174,10,10,8,2,0,0,4,"$6,414",$0,"$4,804","$1,610",4,0,0,0,"4116, IL, Kane (County)"
4116,IL,Kane (County),ST CHARLES,60174,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Kane (County)"
4116,IL,Cook (County),SCHILLER PARK,60176,23,21,15,3,0,3,14,"$30,328",$0,"$11,518","$18,810",14,0,0,0,"4116, IL, Cook (County)"
4116,IL,Kane (County),SOUTH ELGIN,60177,5,5,5,0,0,0,3,"$5,023",$0,"$1,630","$3,393",3,0,0,0,"4116, IL, Kane (County)"
4116,IL,DuPage (County),OAKBROOK TERRACE,60181,2,2,2,0,0,0,2,"$8,805",$0,"$1,932","$6,873",2,0,0,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),VILLA PARK,60181,79,73,38,23,0,12,47,"$120,064",$0,"$82,289","$37,775",47,0,0,0,"4116, IL, DuPage (County)"
4116,IL,Kane (County),WAYNE,60184,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Kane (County)"
4116,IL,DuPage (County),WEST CHICAGO,60185,19,17,8,8,0,1,12,"$43,452",$0,"$32,075","$11,377",10,2,0,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),WHEATON,60187,21,19,10,6,1,2,13,"$40,705",$0,"$15,006","$25,699",13,0,0,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),CAROL STREAM,60188,18,17,12,4,1,0,11,"$25,615",$0,"$13,044","$12,571",11,0,0,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),WHEATON,60189,10,8,6,0,1,1,4,"$14,735",$0,"$4,932","$9,803",4,0,0,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),WINFIELD,60190,2,2,0,1,0,1,2,"$5,222",$0,"$1,630","$3,592",2,0,0,0,"4116, IL, DuPage (County)"
4116,IL,DuPage (County),WOOD DALE,60191,4,4,3,0,0,1,3,"$3,630",$0,"$2,872",$758,3,0,0,0,"4116, IL, DuPage (County)"
4116,IL,Cook (County),SCHAUMBURG,60193,1,1,0,1,0,0,1,"$1,932",$0,"$1,932",$0,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),SCHAUMBURG,60194,9,8,6,2,0,0,3,"$13,121",$0,"$12,321",$800,3,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),EVANSTON,60201,43,40,24,9,0,7,21,"$58,802",$0,"$38,469","$20,333",21,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),EVANSTON,60202,25,20,16,4,0,0,6,"$7,562",$0,"$1,630","$5,932",6,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),EVANSTON ,60202,1,1,1,0,0,0,1,"$1,142",$0,$0,"$1,142",1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),EVANSTON,60203,3,2,1,1,0,0,1,"$3,302",$0,"$3,302",$0,1,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),CHICAGO,60290,1,0,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),OAK PARK,60302,20,19,17,2,0,0,7,"$18,487",$0,"$9,078","$9,409",7,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),OAK PARK,60304,18,16,11,2,1,2,4,"$11,426",$0,"$4,092","$7,334",4,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),RIVER FOREST,60305,9,9,6,3,0,0,4,"$8,549",$0,"$8,062",$487,4,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),BERWYN,60402,90,82,53,23,3,3,44,"$160,280",$0,"$90,099","$70,181",42,2,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),FOREST VIEW,60402,18,13,3,3,6,1,10,"$26,011",$0,"$14,248","$11,763",10,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),STICKNEY,60402,4,4,3,1,0,0,3,"$4,453",$0,"$2,462","$1,991",3,0,0,0,"4116, IL, Cook (County)"
4116,IL,Will (County),CREST HILL,60403,8,7,6,1,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Will (County)"
4116,IL,Will (County),CRESTHILL,60403,1,1,1,0,0,0,1,"$3,500",$0,$0,"$3,500",1,0,0,0,"4116, IL, Will (County)"
4116,IL,Will (County),JOLIET,60404,1,0,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Will (County)"
4116,IL,Will (County),SHOREWOOD,60404,2,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Will (County)"
4116,IL,Cook (County),BLUE ISLAND,60406,131,109,93,16,0,0,47,"$70,081",$0,"$33,014","$37,067",47,0,0,0,"4116, IL, Cook (County)"
4116,IL,Grundy (County),BRACEVILLE,60407,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Grundy (County)"
4116,IL,Will (County),BRAIDWOOD,60408,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Will (County)"
4116,IL,Cook (County),CALUMET CITY,60409,745,715,452,200,3,60,381,"$1,037,851",$0,"$767,499","$270,352",369,10,2,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),CALUMET CITY ,60409,1,1,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0,"4116, IL, Cook (County)"
4116,IL,Will (County),CHANNAHON,60410,5,5,0,4,0,1,4,"$17,025",$0,"$7,124","$9,901",4,0,0,0,"4116, IL, Will (County)"
4116,IL,Cook (County),CHICAGO HEIGHTS,60411,455,432,223,161,1,47,248,"$713,860",$0,"$544,234","$169,626",237,11,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),CHICAGO HTS,60411,9,9,3,6,0,0,8,"$23,115",$0,"$20,936","$2,179",8,0,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),FORD HEIGHTS,60411,71,70,35,29,1,5,40,"$116,137",$0,"$92,827","$23,310",38,2,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),LYNWOOD,60411,57,52,31,16,0,5,26,"$86,292",$0,"$79,248","$7,044",23,3,0,0,"4116, IL, Cook (County)"
4116,IL,Cook (County),SAUK VILLAGE,60411,192,184,113,58,0,13,101,"$276,088",$0,"$215,034","$61,054",97,3,1,0,"4116, IL, Cook (County)"
