disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,hash,lastRefresh
3151,,,,,,,,,,ad0a5c306180c270e63884b7c3277ed8,2019-10-10T20:03:57.827Z
3056,,,,,,,,,,b8a0f642cf57192f96197d658c4cfb85,2019-10-10T20:03:57.801Z
3035,,,,,,,,,,bdf0c66668b1bcde008ea8643731474c,2019-10-10T20:03:57.746Z
3081,,,,,,,,,,4d3848c34cb93795a9bbb7879c7b78c9,2019-10-10T20:03:57.764Z
3060,,,,,,,,,,7fd8b99df79b3266e637fa742145802a,2019-10-10T20:03:57.819Z
3106,,,,,,,,,,f9c2a2b56d6eff20dd175991f6c4900e,2019-12-09T15:26:09.382Z
3085,,,,,,,,,,fe700f2ed14400db52bb73adc5662219,2019-10-10T20:03:57.713Z
3131,,,,,,,,,,20220294a43df300be067a1a91468f67,2019-12-09T15:26:09.378Z
3110,,,,,,,,,,7d2f23d41ad2433c2ad13fa782f96b79,2019-12-09T15:26:09.388Z
3156,,,,,2440546.55,2440546.55,,2020-01-04T00:00:00.000Z,,a0af6e32628bbe59e0dfb3aa2a72b7e0,2020-01-04T03:23:29.574Z
3040,,,,,,,,,,160a0cb1b723a41c4c5c0755b9213f2e,2019-10-10T20:03:57.748Z
3071,,,,,,,,,,af1104db77740ff216e4a224ac7f022b,2019-10-10T20:03:58.130Z
3065,,,,,,,,,,589e0135f65cc5589f9a18bf716a282d,2019-10-10T20:03:57.774Z
3096,,,,,,,,,,02d5c172fd46492b229649715286ef26,2019-12-09T15:26:09.413Z
3090,,,,,,,,,,317978f8ec258f0725943104261b5a03,2019-10-10T20:03:57.777Z
3161,,,,,16539984.85,17640374.45,,2020-01-04T00:00:00.000Z,,a16db87fd677a8a2424d18b1cc6ee321,2020-01-04T03:23:29.580Z
3121,,,,,,,,,,d05bc5e65e075bdf4548ca99eeeb1ee2,2019-10-10T20:03:57.791Z
3045,,,,,,,,,,0de59ed3cd52f8b51a6ec598fcc42988,2019-10-10T20:03:58.138Z
3146,,,,,,,,,,10f98f8a77fa93b5265dc85d64741e8c,2019-10-10T20:03:58.149Z
3070,,,,,,,,,,657cad214bfe5fc494c03dff10ba6b44,2019-10-10T20:03:57.722Z
3171,,,,,6133267.36,6077480.03,,2020-01-04T00:00:00.000Z,,5a4b96c06d25f2c3fad74dba9c725376,2020-01-04T03:23:29.570Z
3095,,,,,,,,,,0dc48bafff3300d43b1384ddc7b276ae,2019-12-09T15:26:09.412Z
3055,,,,,,,,,,4d5654a21fbd475425aa9f565a49838a,2019-10-10T20:03:57.724Z
3120,,,,,,,,,,4bb43ee6ea750529da2300caacc6272e,2019-12-09T15:26:09.390Z
3080,,,,,,,,,,ea972052ffc1ea65d663d489c376febb,2019-12-09T15:26:09.382Z
3145,,,,,,,,,,d16421f01708724f63179a1f1e1f692b,2019-10-10T20:03:58.138Z
3105,,,,,,,,,,24193dd3a9250f933e3e8e90cf505fab,2019-12-09T15:26:09.408Z
3170,,,,,16619808.6,16617849.01,,2020-01-04T00:00:00.000Z,,0358f8dad0b499664ec993e76defac1c,2020-01-04T03:23:29.578Z
3130,,,,,,,,,,96b4ac01c1d1b9ed767c33cea0ff30c1,2019-10-10T20:03:57.771Z
