Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4407,CA,Los Angeles (County),LOS ANGELES,90001,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90002,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90003,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90004,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90006,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90008,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90010,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90019,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90022,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90025,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90026,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90029,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90032,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90033,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90043,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90044,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90045,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90047,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90049,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90056,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90059,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90066,3,2,2,0,0,0,1,"$2,768.00 ", $-   ,"$2,768.00 ",$0 ,1,0,0,0
4407,CA,Los Angeles (County),LOS ANGELES,90077,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Los Angeles (County),LYNWOOD,90262,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
