Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4382,CA,Shasta (County),SHASTA,96001,1,"$241,749.18 ",1,"$241,749.18 ",0,0,0,0,1,1,"$44,788.04 ","$34,000 ","$1,426 ","$9,362 ",0,0,1,0
4382,CA,Shasta (County),SHASTA,96087,219,"$62,884.59 ",76,"$4,779,229.16 ",16,7,0,5,48,39,"$1,138,320.36 ","$933,803 ","$58,394 ","$146,124 ",10,1,28,0
4382,CA,Shasta (County),SHASTA LAKE,96019,100, $-   ,28, $-   ,28,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),SHASTA LAKE,96089,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),SHINGLETOWN,96088,5, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4382,CA,Shasta (County),WHISKEYTOWN,96095,6,"$92,906.86 ",3,"$278,720.59 ",1,0,0,1,1,1,"$44,501.88 ","$34,000 ","$1,426 ","$9,076 ",0,0,1,0
4353,CA,Los Angeles (County),AGOURA HILLS,91301,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),ALHAMBRA,91801,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),ALTADENA,91001,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),ARCADIA,91007,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),ARLETA,91331,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),BEVERLY HILLS,90210,4, $-   ,4, $-   ,4,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
