IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max
106791.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156185.0,42.0,39.0,2.0,1.0,1.0,2033.0,3.0,0.0,0.0
50612.0,11.0,8.0,3.0,0.0,0.0,830.0,1.0,0.0,0.0
1192548.0,191.0,148.0,40.0,3.0,0.0,216670.0,64.0,0.0,0.0
91911.0,12.0,8.0,3.0,1.0,0.0,14469.0,2.0,0.0,0.0
224778.0,33.0,25.0,6.0,2.0,1.0,5389.0,3.0,0.0,0.0
926281.0,200.0,177.0,16.0,7.0,4.0,25394.0,13.0,0.0,0.0
277886.0,37.0,27.0,7.0,3.0,3.0,58101.0,18.0,0.0,0.0
15980402.0,3015.0,2485.0,484.0,46.0,16.0,7973702.0,2098.0,5.0,2.0
148337.0,39.0,38.0,0.0,1.0,1.0,28526.0,7.0,0.0,0.0
5589835.0,492.0,286.0,121.0,85.0,54.0,2904573.0,609.0,3.0,0.0
420864.0,113.0,103.0,10.0,0.0,0.0,20754.0,6.0,0.0,0.0
2500594.0,1245.0,1217.0,25.0,3.0,2.0,276036.0,118.0,0.0,0.0
89169.0,22.0,20.0,2.0,0.0,0.0,13484.0,5.0,0.0,0.0
1026195.0,465.0,454.0,9.0,2.0,1.0,60947.0,47.0,0.0,0.0
304470.0,61.0,52.0,8.0,1.0,1.0,27203.0,6.0,0.0,0.0
793547.0,271.0,256.0,14.0,1.0,1.0,173399.0,81.0,0.0,0.0
68029.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
59702.0,23.0,23.0,0.0,0.0,0.0,11454.0,6.0,0.0,0.0
455011.0,64.0,50.0,10.0,4.0,3.0,20729.0,5.0,0.0,0.0
221631.0,45.0,41.0,4.0,0.0,0.0,7824.0,4.0,0.0,0.0
416321.0,90.0,75.0,15.0,0.0,0.0,26808.0,15.0,0.0,0.0
2207355.0,815.0,789.0,25.0,1.0,0.0,494351.0,186.0,0.0,0.0
34333.0,4.0,2.0,2.0,0.0,0.0,0,0,0,0
328765.0,68.0,59.0,7.0,2.0,2.0,37614.0,19.0,0.0,0.0
65938.0,16.0,15.0,0.0,1.0,0.0,2925.0,2.0,0.0,0.0
51413.0,25.0,25.0,0.0,0.0,0.0,3026.0,2.0,0.0,0.0
818462.0,155.0,125.0,29.0,1.0,1.0,131401.0,49.0,0.0,0.0
31885.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437340.0,51.0,39.0,3.0,9.0,9.0,343436.0,65.0,2.0,2.0
507018.0,121.0,105.0,15.0,1.0,1.0,64313.0,23.0,0.0,0.0
147829.0,31.0,24.0,7.0,0.0,0.0,7414.0,6.0,0.0,0.0
244250.0,59.0,53.0,6.0,0.0,0.0,16488.0,11.0,0.0,0.0
764189.0,121.0,93.0,27.0,1.0,0.0,436260.0,81.0,0.0,0.0
446252.0,75.0,62.0,7.0,6.0,5.0,25330.0,13.0,0.0,0.0
77494.0,48.0,47.0,1.0,0.0,0.0,14515.0,7.0,0.0,0.0
74140.0,11.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
86909.0,13.0,10.0,2.0,1.0,1.0,17801.0,6.0,0.0,0.0
400620.0,71.0,58.0,11.0,2.0,0.0,16180.0,5.0,0.0,0.0
129912.0,27.0,23.0,3.0,1.0,1.0,21349.0,8.0,0.0,0.0
115101.0,12.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
91525.0,9.0,5.0,4.0,0.0,0.0,5458.0,2.0,0.0,0.0
68206.0,22.0,20.0,2.0,0.0,0.0,8439.0,4.0,0.0,0.0
37600.0,10.0,9.0,1.0,0.0,0.0,6667.0,3.0,0.0,0.0
101064.0,42.0,40.0,2.0,0.0,0.0,6700.0,3.0,0.0,0.0
1072227.0,83.0,44.0,24.0,15.0,12.0,113356.0,20.0,1.0,0.0
18072950.0,2410.0,1755.0,571.0,84.0,29.0,7007229.0,2453.0,1.0,1.0
362777.0,259.0,258.0,0.0,1.0,0.0,76507.0,67.0,0.0,0.0
617010.0,154.0,141.0,13.0,0.0,0.0,12550.0,6.0,0.0,0.0
559939.0,127.0,113.0,10.0,4.0,3.0,25731.0,4.0,0.0,0.0
75652.0,11.0,9.0,1.0,1.0,0.0,22542.0,2.0,0.0,0.0
2708506.0,275.0,191.0,34.0,50.0,42.0,273857.0,47.0,0.0,0.0
402505.0,128.0,123.0,5.0,0.0,0.0,21528.0,3.0,0.0,0.0
110945.0,27.0,24.0,3.0,0.0,0.0,942.0,1.0,0.0,0.0
410988.0,77.0,66.0,10.0,1.0,1.0,48048.0,12.0,0.0,0.0
235165.0,41.0,33.0,7.0,1.0,1.0,47353.0,9.0,0.0,0.0
4154531.0,342.0,227.0,10.0,105.0,86.0,1081918.0,154.0,0.0,0.0
3116156.0,442.0,355.0,15.0,72.0,64.0,4394167.0,603.0,19.0,7.0
193444.0,98.0,97.0,1.0,0.0,0.0,18619.0,13.0,0.0,0.0
3548740.0,1287.0,1230.0,51.0,6.0,1.0,459709.0,175.0,0.0,0.0
330427.0,170.0,169.0,1.0,0.0,0.0,59011.0,29.0,0.0,0.0
4790666.0,1603.0,1507.0,91.0,5.0,1.0,1461010.0,679.0,0.0,0.0
2167092.0,904.0,871.0,32.0,1.0,0.0,469094.0,237.0,0.0,0.0
1153943.0,579.0,565.0,13.0,1.0,0.0,93398.0,51.0,0.0,0.0
1528737.0,692.0,674.0,17.0,1.0,1.0,135187.0,100.0,0.0,0.0
3434315.0,880.0,778.0,94.0,8.0,1.0,844856.0,307.0,1.0,0.0
136879.0,94.0,94.0,0.0,0.0,0.0,6693.0,7.0,0.0,0.0
4606434.0,1587.0,1496.0,80.0,11.0,4.0,714717.0,370.0,0.0,0.0
6247275.0,1068.0,880.0,119.0,69.0,45.0,628425.0,213.0,0.0,0.0
141438.0,68.0,65.0,3.0,0.0,0.0,11507.0,5.0,0.0,0.0
422249.0,146.0,136.0,10.0,0.0,0.0,46756.0,16.0,0.0,0.0
3894273.0,1264.0,1169.0,91.0,4.0,2.0,585232.0,240.0,0.0,0.0
1088466.0,422.0,401.0,17.0,4.0,2.0,102567.0,51.0,0.0,0.0
1162127.0,465.0,449.0,15.0,1.0,0.0,159149.0,90.0,0.0,0.0
4788840.0,1210.0,1083.0,99.0,28.0,7.0,976042.0,314.0,0.0,0.0
351393.0,163.0,161.0,2.0,0.0,0.0,51999.0,25.0,0.0,0.0
148055.0,93.0,92.0,1.0,0.0,0.0,32803.0,18.0,0.0,0.0
2464845.0,1319.0,1294.0,25.0,0.0,0.0,334342.0,222.0,0.0,0.0
15509894.0,4197.0,3833.0,285.0,79.0,45.0,4591340.0,1501.0,3.0,0.0
178787.0,76.0,73.0,3.0,0.0,0.0,20190.0,6.0,0.0,0.0
11125518.0,2435.0,2112.0,262.0,61.0,21.0,1809420.0,753.0,1.0,0.0
6500703.0,1672.0,1522.0,113.0,37.0,12.0,552417.0,253.0,0.0,0.0
455574.0,65.0,50.0,11.0,4.0,2.0,109439.0,15.0,0.0,0.0
336340.0,34.0,25.0,3.0,6.0,5.0,22798.0,6.0,0.0,0.0
190529.0,38.0,33.0,4.0,1.0,1.0,70315.0,11.0,0.0,0.0
348400.0,151.0,143.0,8.0,0.0,0.0,44536.0,24.0,0.0,0.0
320540.0,56.0,45.0,10.0,1.0,0.0,32150.0,10.0,0.0,0.0
39302.0,12.0,12.0,0.0,0.0,0.0,16757.0,6.0,0.0,0.0
96880.0,16.0,13.0,2.0,1.0,1.0,19960.0,4.0,0.0,0.0
442343.0,76.0,56.0,20.0,0.0,0.0,19613.0,13.0,0.0,0.0
864405.0,196.0,169.0,27.0,0.0,0.0,578082.0,143.0,1.0,0.0
2122476.0,294.0,212.0,74.0,8.0,1.0,788397.0,157.0,2.0,1.0
2721577.0,603.0,514.0,86.0,3.0,1.0,316315.0,95.0,0.0,0.0
890731.0,205.0,179.0,24.0,2.0,0.0,75045.0,35.0,0.0,0.0
811778.0,248.0,232.0,14.0,2.0,1.0,30339.0,16.0,0.0,0.0
5396209.0,428.0,204.0,162.0,62.0,25.0,972631.0,169.0,1.0,0.0
415191.0,152.0,144.0,8.0,0.0,0.0,27088.0,17.0,0.0,0.0
37492.0,7.0,5.0,2.0,0.0,0.0,11152.0,3.0,0.0,0.0
400761.0,31.0,18.0,3.0,10.0,10.0,38301.0,10.0,0.0,0.0
212160.0,29.0,23.0,2.0,4.0,2.0,82240.0,28.0,0.0,0.0
840669.0,67.0,43.0,4.0,20.0,18.0,225969.0,34.0,3.0,2.0
282321.0,40.0,28.0,11.0,1.0,1.0,24455.0,6.0,0.0,0.0
19585.0,6.0,6.0,0.0,0.0,0.0,10963.0,4.0,0.0,0.0
26273.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
274183.0,28.0,21.0,1.0,6.0,4.0,49390.0,9.0,0.0,0.0
366552.0,19.0,8.0,2.0,9.0,5.0,43107.0,12.0,0.0,0.0
85939.0,24.0,21.0,3.0,0.0,0.0,25916.0,11.0,0.0,0.0
2606.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287340.0,32.0,22.0,6.0,4.0,0.0,2986.0,1.0,0.0,0.0
181414.0,24.0,18.0,3.0,3.0,0.0,57323.0,14.0,0.0,0.0
47104.0,10.0,9.0,1.0,0.0,0.0,8280.0,2.0,0.0,0.0
35696.0,9.0,8.0,1.0,0.0,0.0,0,0,0,0
1195133.0,113.0,76.0,16.0,21.0,8.0,444996.0,96.0,0.0,0.0
173120.0,24.0,19.0,4.0,1.0,1.0,942.0,1.0,0.0,0.0
549176.0,256.0,253.0,1.0,2.0,2.0,23164.0,15.0,0.0,0.0
2191.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0
313134.0,28.0,18.0,3.0,7.0,3.0,42408.0,8.0,0.0,0.0
3752751.0,369.0,240.0,78.0,51.0,24.0,640257.0,116.0,0.0,0.0
92860.0,17.0,15.0,1.0,1.0,1.0,2542.0,2.0,0.0,0.0
109959.0,20.0,16.0,4.0,0.0,0.0,611.0,1.0,0.0,0.0
111824.0,16.0,12.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
39586.0,7.0,5.0,2.0,0.0,0.0,1908.0,1.0,0.0,0.0
289328.0,61.0,53.0,6.0,2.0,1.0,71512.0,20.0,0.0,0.0
64687.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
204481.0,33.0,27.0,3.0,3.0,2.0,35435.0,11.0,0.0,0.0
101049.0,11.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
92741.0,31.0,30.0,0.0,1.0,1.0,51430.0,12.0,0.0,0.0
6483.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234087.0,33.0,27.0,3.0,3.0,1.0,11868.0,4.0,0.0,0.0
93512.0,12.0,8.0,3.0,1.0,0.0,0,0,0,0
557547.0,151.0,140.0,9.0,2.0,1.0,41181.0,15.0,0.0,0.0
37645.0,17.0,17.0,0.0,0.0,0.0,0,0,0,0
2067041.0,506.0,456.0,37.0,13.0,4.0,480844.0,195.0,0.0,0.0
95406.0,12.0,10.0,1.0,1.0,1.0,1112.0,1.0,0.0,0.0
89646.0,14.0,12.0,0.0,2.0,0.0,3432.0,2.0,0.0,0.0
155636.0,40.0,37.0,2.0,1.0,0.0,52687.0,16.0,0.0,0.0
36111.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41771.0,14.0,13.0,1.0,0.0,0.0,3422.0,2.0,0.0,0.0
6965.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111620.0,40.0,38.0,1.0,1.0,0.0,723.0,3.0,0.0,0.0
57130.0,10.0,7.0,3.0,0.0,0.0,5686.0,2.0,0.0,0.0
16863.0,12.0,12.0,0.0,0.0,0.0,5976.0,2.0,0.0,0.0
103038.0,25.0,20.0,5.0,0.0,0.0,1536.0,1.0,0.0,0.0
39370.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
237437.0,48.0,39.0,9.0,0.0,0.0,3384.0,2.0,0.0,0.0
51146.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
96108.0,7.0,2.0,5.0,0.0,0.0,0,0,0,0
390118.0,37.0,24.0,8.0,5.0,2.0,6063.0,3.0,0.0,0.0
15034.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
